row_label_raw,row_label_full,col_0,31/12/2017Triệu VND,31/12/2016Triệu VND(trình bày lại),numeric__31/12/2017Triệu VND,numeric__31/12/2016Triệu VND(trình bày lại)
Nợ ngắn hạn,Nợ ngắn hạn,Nợ ngắn hạn,303.366.942,260.095.582,303366942.0,260095582.0
Nợ trung hạn,Nợ trung hạn,Nợ trung hạn,56.529.525,53.767.184,56529525.0,53767184.0
Nợ dài hạn,Nợ dài hạn,Nợ dài hạn,183.537.993,146.945.674,183537993.0,146945674.0
,,,543.434.460,460.808.440,543434460.0,460808440.0
Phân tích dư nợ theo loại hình doanh nghiệp như sau:,Phân tích dư nợ theo loại hình doanh nghiệp như sau:,Phân tích dư nợ theo loại hình doanh nghiệp như sau:,Phân tích dư nợ theo loại hình doanh nghiệp như sau:,Phân tích dư nợ theo loại hình doanh nghiệp như sau:,,
,,,31/12/2017Triệu VND,31/12/2016Triệu VND(trình bày lại),,
Doanh nghiệp nhà nước,Phân tích dư nợ theo loại hình doanh nghiệp như sau: > Doanh nghiệp nhà nước,Doanh nghiệp nhà nước,83.310.960,91.143.102,83310960.0,91143102.0
Công ty trách nhiệm hữu hạn,Phân tích dư nợ theo loại hình doanh nghiệp như sau: > Công ty trách nhiệm hữu hạn,Công ty trách nhiệm hữu hạn,109.118.330,96.800.842,109118330.0,96800842.0
Doanh nghiệp có vốn đầu tư nước ngoài,Phân tích dư nợ theo loại hình doanh nghiệp như sau: > Doanh nghiệp có vốn đầu tư nước ngoài,Doanh nghiệp có vốn đầu tư nước ngoài,38.357.370,30.651.691,38357370.0,30651691.0
Hợp tác xã và công ty tư nhân,Phân tích dư nợ theo loại hình doanh nghiệp như sau: > Hợp tác xã và công ty tư nhân,Hợp tác xã và công ty tư nhân,5.250.845,7.459.542,5250845.0,7459542.0
Cá nhân,Phân tích dư nợ theo loại hình doanh nghiệp như sau: > Cá nhân,Cá nhân,177.778.008,116.463.229,177778008.0,116463229.0
Khác,Phân tích dư nợ theo loại hình doanh nghiệp như sau: > Khác,Khác,129.618.947,118.290.034,129618947.0,118290034.0
,,,543.434.460,460.808.440,543434460.0,460808440.0
Phân tích dư nợ cho vay theo ngành như sau:,Phân tích dư nợ cho vay theo ngành như sau:,Phân tích dư nợ cho vay theo ngành như sau:,Phân tích dư nợ cho vay theo ngành như sau:,Phân tích dư nợ cho vay theo ngành như sau:,,
,,,31/12/2017Triệu VND,31/12/2016Triệu VND(trình bày lại),,
Sản xuất và gia công chế biến,Phân tích dư nợ cho vay theo ngành như sau: > Sản xuất và gia công chế biến,Sản xuất và gia công chế biến,147.736.460,140.793.745,147736460.0,140793745.0
"Thương mại, dịch vụ","Phân tích dư nợ cho vay theo ngành như sau: > Thương mại, dịch vụ","Thương mại, dịch vụ",118.528.188,117.623.973,118528188.0,117623973.0
Xây dựng,Phân tích dư nợ cho vay theo ngành như sau: > Xây dựng,Xây dựng,32.115.297,25.148.575,32115297.0,25148575.0
"Sản xuất và phân phối điện, khí đốt và nước","Phân tích dư nợ cho vay theo ngành như sau: > Sản xuất và phân phối điện, khí đốt và nước","Sản xuất và phân phối điện, khí đốt và nước",26.547.170,28.619.537,26547170.0,28619537.0
Khai khoáng,Phân tích dư nợ cho vay theo ngành như sau: > Khai khoáng,Khai khoáng,16.311.491,18.477.439,16311491.0,18477439.0
"Nông, lâm, thủy hải sản","Phân tích dư nợ cho vay theo ngành như sau: > Nông, lâm, thủy hải sản","Nông, lâm, thủy hải sản",11.296.702,12.740.155,11296702.0,12740155.0
Vận tải kho bãi và thông tin liên lạc,Phân tích dư nợ cho vay theo ngành như sau: > Vận tải kho bãi và thông tin liên lạc,Vận tải kho bãi và thông tin liên lạc,23.016.953,26.914.695,23016953.0,26914695.0
"Nhà hàng, khách sạn","Phân tích dư nợ cho vay theo ngành như sau: > Nhà hàng, khách sạn","Nhà hàng, khách sạn",9.441.003,8.471.154,9441003.0,8471154.0
Các ngành khác,Phân tích dư nợ cho vay theo ngành như sau: > Các ngành khác,Các ngành khác,158.441.196,82.019.167,158441196.0,82019167.0
,,,543.434.460,460.808.440,543434460.0,460808440.0
