row_label_raw,row_label_full,col_0,2017Triệu VND,2016Triệu VND(trình bày lại),numeric__2017Triệu VND,numeric__2016Triệu VND(trình bày lại)
Thu nhập lãi từ cho vay khách hàng,Thu nhập lãi từ cho vay khách hàng,Thu nhập lãi từ cho vay khách hàng,36.165.352,29.024.053,36165352.0,29024053.0
Thu nhập từ lãi tiền gửi,Thu nhập từ lãi tiền gửi,Thu nhập từ lãi tiền gửi,1.974.911,1.521.011,1974911.0,1521011.0
"Thu nhập lãi từ kinh doanh, đầu tư chứng khoán nợ:","Thu nhập lãi từ kinh doanh, đầu tư chứng khoán nợ:","Thu nhập lãi từ kinh doanh, đầu tư chứng khoán nợ:",7.197.869,6.563.613,7197869.0,6563613.0
- từ chứng khoán đầu tư,- từ chứng khoán đầu tư,- từ chứng khoán đầu tư,6.936.567,6.446.456,6936567.0,6446456.0
- từ chứng khoán kinh doanh,- từ chứng khoán kinh doanh,- từ chứng khoán kinh doanh,261.302,117.157,261302.0,117157.0
Thu nhập lãi cho thuê tài chính,Thu nhập lãi cho thuê tài chính,Thu nhập lãi cho thuê tài chính,253.228,216.949,253228.0,216949.0
Thu phí từ nghiệp vụ bảo lãnh,Thu phí từ nghiệp vụ bảo lãnh,Thu phí từ nghiệp vụ bảo lãnh,390.347,313.407,390347.0,313407.0
Thu nhập lãi từ nghiệp vụ mua bán nợ,Thu nhập lãi từ nghiệp vụ mua bán nợ,Thu nhập lãi từ nghiệp vụ mua bán nợ,-,66.752,,66752.0
Thu khác từ hoạt động tín dụng,Thu khác từ hoạt động tín dụng,Thu khác từ hoạt động tín dụng,177.061,12.426,177061.0,12426.0
,,,46.158.768,37.718.211,46158768.0,37718211.0
