row_label_raw,row_label_full,Thuế giá trị gia tăng,Số dư tại ngày1/1/2017Triệu VND(trình bày lại) > 34.620,Phát sinh trong năm > Số phải nộpTriệu VND > 364.252,Phát sinh trong năm > Số đã nộpTriệu VND > (379.758),Số dư tại ngày 31/12/2017 > Phải trảTriệu VND > 37.539,Số dư tại ngày 31/12/2017 > Ứng trướcTriệu VND > (18.425),Số dư tại ngày 31/12/2017 > Tổng cộngTriệu VND > 19.114,numeric__Số dư tại ngày1/1/2017Triệu VND(trình bày lại) > 34.620,numeric__Phát sinh trong năm > Số phải nộpTriệu VND > 364.252,numeric__Phát sinh trong năm > Số đã nộpTriệu VND > (379.758),numeric__Số dư tại ngày 31/12/2017 > Phải trảTriệu VND > 37.539,numeric__Số dư tại ngày 31/12/2017 > Ứng trướcTriệu VND > (18.425),numeric__Số dư tại ngày 31/12/2017 > Tổng cộngTriệu VND > 19.114
Thuế TNDN hiện hành,Thuế TNDN hiện hành,Thuế TNDN hiện hành,124.466,2.234.430,(2.082.461),276.569,(134),276.435,124466.0,2234430.0,-2082461.0,276569.0,-134.0,276435.0
Trong đó:,Trong đó:,Trong đó:,,,,,,,,,,,,
- Thuế TNDN của Ngân hàng,Trong đó: > - Thuế TNDN của Ngân hàng,- Thuế TNDN của Ngân hàng,124.533,2.234.378,(2.082.342),276.569,-,276.569,124533.0,2234378.0,-2082342.0,276569.0,,276569.0
- Điều chỉnh thuế các năm trước,Trong đó: > - Điều chỉnh thuế các năm trước,- Điều chỉnh thuế các năm trước,(11),52,(119),-,(78),(78),-11.0,52.0,-119.0,,-78.0,-78.0
- Nghĩa vụ thuế năm 2008 của Vinafico,Trong đó: > - Nghĩa vụ thuế năm 2008 của Vinafico,- Nghĩa vụ thuế năm 2008 của Vinafico,(56),-,-,-,(56),(56),-56.0,,,,-56.0,-56.0
Thuế TNDN hoãn lại phải trả,Trong đó: > Thuế TNDN hoãn lại phải trả,Thuế TNDN hoãn lại phải trả,18.461,1.591,-,20.052,-,20.052,18461.0,1591.0,,20052.0,,20052.0
Các loại thuế khác,Trong đó: > Các loại thuế khác,Các loại thuế khác,88.497,881.887,(799.667),170.719,(2),170.717,88497.0,881887.0,-799667.0,170719.0,-2.0,170717.0
,,,266.044,3.482.160,(3.261.886),504.879,(18.561),486.318,266044.0,3482160.0,-3261886.0,504879.0,-18561.0,486318.0
