row_label_raw,row_label_full,Ngân hàng Nhà nước Việt NamTiền gửi của Vietcombank tại NHNNVNTiền gửi và tiền vay của NHNNVNTại Vietcombank,Mối liên hệ > Đại diệnchủ sở hữu,31/12/2017Triệu VNDPhải thu/(phải trả) > 93.615.296(6.303.503),31/12/2016Triệu VND > 17.382.418(11.399.055),numeric__Mối liên hệ > Đại diệnchủ sở hữu,numeric__31/12/2017Triệu VNDPhải thu/(phải trả) > 93.615.296(6.303.503),numeric__31/12/2016Triệu VND > 17.382.418(11.399.055)
Bộ Tài chínhTiền gửi tại Ngân hàngVay Bộ Tài chính,Bộ Tài chínhTiền gửi tại Ngân hàngVay Bộ Tài chính,Bộ Tài chínhTiền gửi tại Ngân hàngVay Bộ Tài chính,Bên liênquan củachủ sở hữu,(165.081.565)(702.162),42.752.358(651.693),,,
"Mizuho Bank Ltd., Nhật BảnTiền gửi của Ngân hàng tại Mizuho Bank Ltd.,Tiền gửi của Mizuho Bank Ltd., tại Ngân hàngCho vay Mizuho Bank Ltd.,","Mizuho Bank Ltd., Nhật BảnTiền gửi của Ngân hàng tại Mizuho Bank Ltd.,Tiền gửi của Mizuho Bank Ltd., tại Ngân hàngCho vay Mizuho Bank Ltd.,","Mizuho Bank Ltd., Nhật BảnTiền gửi của Ngân hàng tại Mizuho Bank Ltd.,Tiền gửi của Mizuho Bank Ltd., tại Ngân hàngCho vay Mizuho Bank Ltd.,",Cổ đôngchiến lược,5.994.987(3.190.241)448.500,625.946(2.287.708)-,,,
