row_label_raw,row_label_full,Năm kết thúc ngày 31 tháng 12 năm 2017:,Năm kết thúc ngày 31 tháng 12 năm 2017:_1,Miền Bắc > Triệu VND,Miền Trung và Tây Nguyên > Triệu VND,Miền Nam > Triệu VND,Nước ngoài > Triệu VND,Loại trừ > Triệu VND,Tổng cộng > Triệu VND,numeric__Năm kết thúc ngày 31 tháng 12 năm 2017:_1,numeric__Miền Bắc > Triệu VND,numeric__Miền Trung và Tây Nguyên > Triệu VND,numeric__Miền Nam > Triệu VND,numeric__Nước ngoài > Triệu VND,numeric__Loại trừ > Triệu VND,numeric__Tổng cộng > Triệu VND
1,1,1,Thu nhập lãi và các khoản thu nhập tương tự,65.206.586,11.444.290,31.275.800,37.660,(61.805.568),46.158.768,,65206586.0,11444290.0,31275800.0,37660.0,-61805568.0,46158768.0
2,2,2,Chi phí lãi và các chi phí tương tự,(55.727.008),(8.274.306),(22.018.642),(12.604),61.811.338,(24.221.222),,-55727008.0,-8274306.0,-22018642.0,-12604.0,61811338.0,-24221222.0
I,I,I,Thu nhập lãi thuần,9.479.578,3.169.984,9.257.158,25.056,5.770,21.937.546,,9479578.0,3169984.0,9257158.0,25056.0,5770.0,21937546.0
3,3,3,Thu nhập từ hoạt động dịch vụ,3.022.788,491.677,1.950.460,27.650,(114.399),5.378.176,,3022788.0,491677.0,1950460.0,27650.0,-114399.0,5378176.0
4,4,4,Chi phí hoạt động dịch vụ,(2.758.199),(21.157),(77.496),(10.323),27.208,(2.839.967),,-2758199.0,-21157.0,-77496.0,-10323.0,27208.0,-2839967.0
II,II,II,Lãi thuần từ hoạt động dịch vụ,264.589,470.520,1.872.964,17.327,(87.191),2.538.209,,264589.0,470520.0,1872964.0,17327.0,-87191.0,2538209.0
III,III,III,Lãi thuần từ hoạt động kinh doanh ngoại hối,1.542.001,74.641,424.565,1.210,-,2.042.417,,1542001.0,74641.0,424565.0,1210.0,,2042417.0
IV,IV,IV,Lãi thuần từ mua bán chứng khoán kinh doanh,482.170,-,-,-,(5.770),476.400,,482170.0,,,,-5770.0,476400.0
V,V,V,Lỗ thuần từ mua bán chứng khoán đầu tư,(19.742),-,-,-,-,(19.742),,-19742.0,,,,,-19742.0
5,5,5,Thu nhập từ hoạt động khác,925.959,304.469,1.135.143,605,(10.345),2.355.831,,925959.0,304469.0,1135143.0,605.0,-10345.0,2355831.0
6,6,6,Chi phí hoạt động khác,(200.279),(24.889),(31.133),-,-,(256.301),,-200279.0,-24889.0,-31133.0,,,-256301.0
VI,VI,VI,Lãi thuần từ hoạt động khác,725.680,279.580,1.104.010,605,(10.345),2.099.530,,725680.0,279580.0,1104010.0,605.0,-10345.0,2099530.0
VII,VII,VII,"Thu nhập từ góp vốn, mua cổ phần",331.761,-,-,-,-,331.761,,331761.0,,,,,331761.0
,,,Tổng thu nhập hoạt động,12.806.037,3.994.725,12.658.697,44.198,(97.536),29.406.121,,12806037.0,3994725.0,12658697.0,44198.0,-97536.0,29406121.0
VIII,VIII,VIII,Chi phí hoạt động,(7.865.647),(1.091.651),(2.963.507),(43.076),97.536,(11.866.345),,-7865647.0,-1091651.0,-2963507.0,-43076.0,97536.0,-11866345.0
IX,IX,IX,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,4.940.390,2.903.074,9.695.190,1.122,-,17.539.776,,4940390.0,2903074.0,9695190.0,1122.0,,17539776.0
X,X,X,Chi phí dự phòng rủi ro tín dụng,(1.558.949),(760.192),(3.879.355),81,-,(6.198.415),,-1558949.0,-760192.0,-3879355.0,81.0,,-6198415.0
XI,XI,XI,Tổng lợi nhuận trước thuế,3.381.441,2.142.882,5.815.835,1.203,-,11.341.361,,3381441.0,2142882.0,5815835.0,1203.0,,11341361.0
7,7,7,Chi phí thuế TNDN hiện hành,(640.489),(428.576),(1.163.261),(2.052),-,(2.234.378),,-640489.0,-428576.0,-1163261.0,-2052.0,,-2234378.0
8,8,8,Lợi ích thuế TNDN hoãn lại,3.605,-,-,-,-,3.605,,3605.0,,,,,3605.0
XII,XII,XII,Chi phí thuế TNDN,(636.884),(428.576),(1.163.261),(2.052),-,(2.230.773),,-636884.0,-428576.0,-1163261.0,-2052.0,,-2230773.0
XIII,XIII,XIII,Lợi nhuận sau thuế,2.744.557,1.714.306,4.652.574,(849),-,9.110.588,,2744557.0,1714306.0,4652574.0,-849.0,,9110588.0
