row_label_raw,row_label_full,col_0,2017Triệu VND,2016Triệu VND(trình bày lại),numeric__2017Triệu VND,numeric__2016Triệu VND(trình bày lại)
"Chi nộp thuế và các khoản phí, lệ phí","Chi nộp thuế và các khoản phí, lệ phí","Chi nộp thuế và các khoản phí, lệ phí",229.392,214.059,229392.0,214059.0
Chi phí cho nhân viên,Chi phí cho nhân viên,Chi phí cho nhân viên,6.733.373,5.357.363,6733373.0,5357363.0
Trong đó:,Trong đó:,Trong đó:,,,,
- Chi lương và phụ cấp (Thuyết minh 37),Trong đó: > - Chi lương và phụ cấp (Thuyết minh 37),- Chi lương và phụ cấp (Thuyết minh 37),6.289.709,4.959.636,6289709.0,4959636.0
- Các khoản chi đóng góp theo lương,Trong đó: > - Các khoản chi đóng góp theo lương,- Các khoản chi đóng góp theo lương,308.610,278.035,308610.0,278035.0
- Chi trợ cấp,Trong đó: > - Chi trợ cấp,- Chi trợ cấp,3.539,1.952,3539.0,1952.0
Chi về tài sản,Trong đó: > Chi về tài sản,Chi về tài sản,2.051.907,1.976.666,2051907.0,1976666.0
Trong đó:,Trong đó:,Trong đó:,,,,
- Khấu hao tài sản cố định,Trong đó: > - Khấu hao tài sản cố định,- Khấu hao tài sản cố định,711.474,712.406,711474.0,712406.0
Chi cho hoạt động quản lý công vụ,Trong đó: > Chi cho hoạt động quản lý công vụ,Chi cho hoạt động quản lý công vụ,2.358.518,2.030.266,2358518.0,2030266.0
"Chi nộp phí bảo hiểm, bảo toàn tiền gửi của khách hàng","Trong đó: > Chi nộp phí bảo hiểm, bảo toàn tiền gửi của khách hàng","Chi nộp phí bảo hiểm, bảo toàn tiền gửi của khách hàng",444.889,355.746,444889.0,355746.0
Trích lập/(hoàn nhập) dự phòng giảm giá đầu tư dài hạn khác(Thuyết minh 12(c)),Trong đó: > Trích lập/(hoàn nhập) dự phòng giảm giá đầu tư dài hạn khác(Thuyết minh 12(c)),Trích lập/(hoàn nhập) dự phòng giảm giá đầu tư dài hạn khác(Thuyết minh 12(c)),10.792,(21.442),10792.0,-21442.0
Chi phí hoạt động khác,Trong đó: > Chi phí hoạt động khác,Chi phí hoạt động khác,37.474,26.354,37474.0,26354.0
,,,11.866.345,9.939.012,11866345.0,9939012.0
