row_label_raw,row_label_full,STT,Chỉ tiêu,Thuyết minh,31/12/2017 Triệu VND,31/12/2016 Triệu VND(trình bày lại),numeric__Chỉ tiêu,numeric__Thuyết minh,numeric__31/12/2017 Triệu VND,numeric__31/12/2016 Triệu VND(trình bày lại)
A,A,A,TÀI SẢN,,,,,,,
I,A > I,I,"Tiền mặt, vàng bạc, đá quý",4,10.102.861,9.692.053,,4.0,10102861.0,9692053.0
II,A > II,II,Tiền gửi tại Ngân hàng Nhà nước Việt Nam,5,93.615.618,17.382.418,,5.0,93615618.0,17382418.0
III,A > III,III,Tiền gửi và cho vay các tổ chức tín dụng khác,6,232.973.403,151.845.570,,6.0,232973403.0,151845570.0
1,A > 1,1,Tiền gửi tại các tổ chức tín dụng khác,,159.043.345,103.236.053,,,159043345.0,103236053.0
2,A > 2,2,Cho vay các tổ chức tín dụng khác,,73.930.058,48.609.517,,,73930058.0,48609517.0
IV,A > IV,IV,Chứng khoán kinh doanh,7,9.669.033,4.233.529,,7.0,9669033.0,4233529.0
1,A > 1,1,Chứng khoán kinh doanh,,9.750.244,4.271.362,,,9750244.0,4271362.0
2,A > 2,2,Dự phòng rủi ro chứng khoán kinh doanh,,(81.211),(37.833),,,-81211.0,-37833.0
V,A > V,V,Các công cụ tài chính phải sinh và các tài sản tài chính khác,8,832.354,230.658,,8.0,832354.0,230658.0
VI,A > VI,VI,Cho vay khách hàng,,535.321.404,452.721.687,,,535321404.0,452721687.0
1,A > 1,1,Cho vay khách hàng,9,543.434.460,460.808.440,,9.0,543434460.0,460808440.0
2,A > 2,2,Dự phòng rủi ro cho vay khách hàng,10,(8.113.056),(8.086.753),,10.0,-8113056.0,-8086753.0
VIII,A > VIII,VIII,Chứng khoán đầu tư,11,129.952.272,131.771.107,,11.0,129952272.0,131771107.0
1,A > 1,1,Chứng khoán đầu tư sẵn sàng để bán,,34.688.298,51.931.950,,,34688298.0,51931950.0
2,A > 2,2,Chứng khoán đầu tư giữ đến ngày đáo hạn,,95.404.021,80.019.284,,,95404021.0,80019284.0
3,A > 3,3,Dự phòng rủi ro chứng khoán đầu tư,,(140.047),(180.127),,,-140047.0,-180127.0
IX,A > IX,IX,"Góp vốn, đầu tư dài hạn",,3.552.828,3.627.814,,,3552828.0,3627814.0
2,A > 2,2,Vốn góp liên doanh,12(a),861.567,803.098,,,861567.0,803098.0
3,A > 3,3,Đầu tư vào công ty liên kết,12(b),10.434,9.645,,,10434.0,9645.0
4,A > 4,4,Đầu tư dài hạn khác,12(c),2.705.966,2.829.418,,,2705966.0,2829418.0
5,A > 5,5,Dự phòng giảm giá đầu tư dài hạn,,(25.139),(14.347),,,-25139.0,-14347.0
X,A > X,X,Tài sản cố định,,6.162.361,5.729.637,,,6162361.0,5729637.0
1,A > 1,1,Tài sản cố định hữu hình,13,4.198.053,3.726.000,,13.0,4198053.0,3726000.0
a,A > a,a,Nguyên giá tài sản cố định,,9.701.927,8.632.207,,,9701927.0,8632207.0
b,A > b,b,Hao mòn tài sản cố định,,(5.503.874),(4.906.207),,,-5503874.0,-4906207.0
3,A > 3,3,Tài sản cố định vô hình,14,1.964.308,2.003.637,,14.0,1964308.0,2003637.0
a,A > a,a,Nguyên giá tài sản cố định,,2.606.775,2.603.156,,,2606775.0,2603156.0
b,A > b,b,Hao mòn tài sản cố định,,(642.467),(599.519),,,-642467.0,-599519.0
XII,A > XII,XII,Tài sản Có khác,,13.111.149,10.700.615,,,13111149.0,10700615.0
1,A > 1,1,Các khoản phải thu,15(a),4.505.735,2.958.093,,,4505735.0,2958093.0
2,A > 2,2,"Các khoản lãi, phí phải thu",15(b),6.025.653,5.791.137,,,6025653.0,5791137.0
3,A > 3,3,Tài sản thuế thu nhập doanh nghiệp hoãn lại,,5.548,1.943,,,5548.0,1943.0
4,A > 4,4,Tài sản Có khác,15(c),2.576.228,1.950.379,,,2576228.0,1950379.0
5,A > 5,5,Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,,(2.015),(937),,,-2015.0,-937.0
,,,TỔNG TÀI SẢN CÓ,,1.035.293.283,787.935.088,,,1035293283.0,787935088.0
