row_label_raw,row_label_full,col_0,31/12/2016Triệu VND(trình bày lại),31/12/2016Triệu VND(theo báo cáotrước đây),Chênh lệchTriệu VND,numeric__31/12/2016Triệu VND(trình bày lại),numeric__31/12/2016Triệu VND(theo báo cáotrước đây),numeric__Chênh lệchTriệu VND
Thu nhập lãi và các khoản thu nhập tương tự,Thu nhập lãi và các khoản thu nhập tương tự,Thu nhập lãi và các khoản thu nhập tương tự,37.718.211,37.713.172,5.039,37718211.0,37713172.0,5039.0
Thu nhập lãi thuần,Thu nhập lãi thuần,Thu nhập lãi thuần,18.532.750,18.527.711,5.039,18532750.0,18527711.0,5039.0
Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,2.294.727,2.293.539,1.188,2294727.0,2293539.0,1188.0
Lãi thuần từ hoạt động khác,Lãi thuần từ hoạt động khác,Lãi thuần từ hoạt động khác,1.918.378,1.917.190,1.188,1918378.0,1917190.0,1188.0
Chi phí hoạt động,Chi phí hoạt động,Chi phí hoạt động,(9.939.012),(9.950.443),11.431,-9939012.0,-9950443.0,11431.0
Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,14.946.847,14.929.189,17.658,14946847.0,14929189.0,17658.0
Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,(6.368.707),(6.406.106),37.399,-6368707.0,-6406106.0,37399.0
TỔNG LỢI NHUẬN TRƯỚC THUẾ,TỔNG LỢI NHUẬN TRƯỚC THUẾ,TỔNG LỢI NHUẬN TRƯỚC THUẾ,8.578.140,8.523.083,55.057,8578140.0,8523083.0,55057.0
Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,(1.683.093),(1.672.082),(11.011),-1683093.0,-1672082.0,-11011.0
Chi phí thuế thu nhập doanh nghiệp,Chi phí thuế thu nhập doanh nghiệp,Chi phí thuế thu nhập doanh nghiệp,(1.683.093),(1.672.082),(11.011),-1683093.0,-1672082.0,-11011.0
Lợi nhuận sau thuế,Lợi nhuận sau thuế,Lợi nhuận sau thuế,6.895.047,6.851.001,44.046,6895047.0,6851001.0,44046.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,6.875.771,6.831.725,44.046,6875771.0,6831725.0,44046.0
