row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcTriệu VND","Máy móc,thiết bịTriệu VND","Phương tiệnvận tải,truyền đầnTriệu VND",Tài sảncó định hữuhình khácTriệu VND,Tổng cộngTriệu VND,"numeric__Nhà cửa,vật kiến trúcTriệu VND","numeric__Máy móc,thiết bịTriệu VND","numeric__Phương tiệnvận tải,truyền đầnTriệu VND",numeric__Tài sảncó định hữuhình khácTriệu VND,numeric__Tổng cộngTriệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm(trình bày lại),Nguyên giá > Số dư đầu năm(trình bày lại),Số dư đầu năm(trình bày lại),3.524.303,3.479.396,742.238,886.270,8.632.207,3524303.0,3479396.0,742238.0,886270.0,8632207.0
Tăng trong năm- Mua trong năm,Nguyên giá > Tăng trong năm- Mua trong năm,Tăng trong năm- Mua trong năm,343.270,354.524,105.648,335.938,1.139.380,343270.0,354524.0,105648.0,335938.0,1139380.0
Tăng trong năm- Mua trong năm,Nguyên giá > Tăng trong năm- Mua trong năm,Tăng trong năm- Mua trong năm,326.034,354.496,105.648,265.799,1.051.977,326034.0,354496.0,105648.0,265799.0,1051977.0
- Tăng khác,Nguyên giá > - Tăng khác,- Tăng khác,17.236,28,-,70.139,87.403,17236.0,28.0,,70139.0,87403.0
"Giảm trong năm- Thanh lý, nhượng bán","Nguyên giá > Giảm trong năm- Thanh lý, nhượng bán","Giảm trong năm- Thanh lý, nhượng bán",(3.473),(31.449),(18.203),(16.535),(69.660),-3473.0,-31449.0,-18203.0,-16535.0,-69660.0
"Giảm trong năm- Thanh lý, nhượng bán","Nguyên giá > Giảm trong năm- Thanh lý, nhượng bán","Giảm trong năm- Thanh lý, nhượng bán",(2.582),(31.246),(18.088),(14.191),(66.107),-2582.0,-31246.0,-18088.0,-14191.0,-66107.0
- Giảm khác,Nguyên giá > - Giảm khác,- Giảm khác,(891),(203),(115),(2.344),(3.553),-891.0,-203.0,-115.0,-2344.0,-3553.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,3.864.100,3.802.471,829.683,1.205.673,9.701.927,3864100.0,3802471.0,829683.0,1205673.0,9701927.0
Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,,,,,
Số dư đầu năm(trình bày lại),Hao mòn lũy kế > Số dư đầu năm(trình bày lại),Số dư đầu năm(trình bày lại),768.935,3.082.135,482.161,572.976,4.906.207,768935.0,3082135.0,482161.0,572976.0,4906207.0
Tăng trong năm- Khấu hao trong năm,Hao mòn lũy kế > Tăng trong năm- Khấu hao trong năm,Tăng trong năm- Khấu hao trong năm,167.687,250.804,79.459,168.694,666.644,167687.0,250804.0,79459.0,168694.0,666644.0
Tăng trong năm- Khấu hao trong năm,Hao mòn lũy kế > Tăng trong năm- Khấu hao trong năm,Tăng trong năm- Khấu hao trong năm,166.989,250.804,79.459,168.196,665.448,166989.0,250804.0,79459.0,168196.0,665448.0
- Tăng khác,Hao mòn lũy kế > - Tăng khác,- Tăng khác,698,-,-,498,1.196,698.0,,,498.0,1196.0
"Giảm trong năm- Thanh lý, nhượng bán","Hao mòn lũy kế > Giảm trong năm- Thanh lý, nhượng bán","Giảm trong năm- Thanh lý, nhượng bán",(2.894),(31.431),(18.203),(16.449),(68.977),-2894.0,-31431.0,-18203.0,-16449.0,-68977.0
"Giảm trong năm- Thanh lý, nhượng bán","Hao mòn lũy kế > Giảm trong năm- Thanh lý, nhượng bán","Giảm trong năm- Thanh lý, nhượng bán",(1.636),(31.228),(18.088),(14.037),(64.989),-1636.0,-31228.0,-18088.0,-14037.0,-64989.0
- Giảm khác,Hao mòn lũy kế > - Giảm khác,- Giảm khác,(1.258),(203),(115),(2.412),(3.988),-1258.0,-203.0,-115.0,-2412.0,-3988.0
Số dư cuối năm,Hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,933.728,3.301.508,543.417,725.221,5.503.874,933728.0,3301508.0,543417.0,725221.0,5503874.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số dư đầu năm(trình bày lại),Giá trị còn lại > Số dư đầu năm(trình bày lại),Số dư đầu năm(trình bày lại),2.755.368,397.261,260.077,313.294,3.726.000,2755368.0,397261.0,260077.0,313294.0,3726000.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,2.930.372,500.963,286.266,480.452,4.198.053,2930372.0,500963.0,286266.0,480452.0,4198053.0
