row_label_raw,row_label_full,col_0,Quyền sử dụng đấtTriệu VND,Bản quyền và bằng sáng chếTriệu VND,Tài sản cố định vô hình khácTriệu VND,Tổng cộngTriệu VND,numeric__Quyền sử dụng đấtTriệu VND,numeric__Bản quyền và bằng sáng chếTriệu VND,numeric__Tài sản cố định vô hình khácTriệu VND,numeric__Tổng cộngTriệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm(trình bày lại),Nguyên giá > Số dư đầu năm(trình bày lại),Số dư đầu năm(trình bày lại),1.964.288,541.970,96.898,2.603.156,1964288.0,541970.0,96898.0,2603156.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,35.802,48.492,3.705,87.999,35802.0,48492.0,3705.0,87999.0
Giảm khác trong năm,Nguyên giá > Giảm khác trong năm,Giảm khác trong năm,(84.380),-,-,(84.380),-84380.0,,,-84380.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,1.915.710,590.462,100.603,2.606.775,1915710.0,590462.0,100603.0,2606775.0
Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,,,,
Số dư đầu năm(trình bày lại),Hao mòn lũy kế > Số dư đầu năm(trình bày lại),Số dư đầu năm(trình bày lại),50.145,477.060,72.314,599.519,50145.0,477060.0,72314.0,599519.0
Khấu hao trong năm,Hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,9.055,29.122,7.849,46.026,9055.0,29122.0,7849.0,46026.0
Giảm khác trong năm,Hao mòn lũy kế > Giảm khác trong năm,Giảm khác trong năm,(3.078),-,-,(3.078),-3078.0,,,-3078.0
Số dư cuối năm,Hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,56.122,506.182,80.163,642.467,56122.0,506182.0,80163.0,642467.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm(trình bày lại),Giá trị còn lại > Số dư đầu năm(trình bày lại),Số dư đầu năm(trình bày lại),1.914.143,64.910,24.584,2.003.637,1914143.0,64910.0,24584.0,2003637.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,1.859.588,84.280,20.440,1.964.308,1859588.0,84280.0,20440.0,1964308.0
