row_label_raw,row_label_full,col_0,Số phải thu đầu năm,Số phải nộp đầu năm,Số phải nộp trong năm,Số đã thực nộp trong năm,Số phải nộp cuối năm,numeric__Số phải thu đầu năm,numeric__Số phải nộp đầu năm,numeric__Số phải nộp trong năm,numeric__Số đã thực nộp trong năm,numeric__Số phải nộp cuối năm
,,,VND,VND,VND,VND,VND,,,,,
Thuế Giá trị gia tăng,Thuế Giá trị gia tăng,Thuế Giá trị gia tăng,-,-,38.465.898.194,38.465.898.194,-,,,38465898194.0,38465898194.0,
Thuế Thu nhập doanh nghiệp,Thuế Thu nhập doanh nghiệp,Thuế Thu nhập doanh nghiệp,-,22.912.017.574,23.838.280.293,31.021.954.135,15.728.343.732,,22912017574.0,23838280293.0,31021954135.0,15728343732.0
Thuế Thu nhập cá nhân,Thuế Thu nhập cá nhân,Thuế Thu nhập cá nhân,-,219.251.027,1.564.662.191,1.607.136.914,176.776.304,,219251027.0,1564662191.0,1607136914.0,176776304.0
Thuế Tài nguyên,Thuế Tài nguyên,Thuế Tài nguyên,-,972.120.706,26.728.625.622,26.728.625.622,1.790.749.795,,972120706.0,26728625622.0,26728625622.0,1790749795.0
"Thuế Nhà đất, Tiền thuê đất","Thuế Nhà đất, Tiền thuê đất","Thuế Nhà đất, Tiền thuê đất",9.630.996,-,2.552.884.807,2.552.884.807,-,9630996.0,,2552884807.0,2552884807.0,
Các loại thuế khác,Các loại thuế khác,Các loại thuế khác,-,-,687.805.844,687.805.844,-,,,687805844.0,687805844.0,
"Phí, lệ phí và các khoản phải nộp khác","Phí, lệ phí và các khoản phải nộp khác","Phí, lệ phí và các khoản phải nộp khác",-,812.616.104,15.004.007.819,15.004.007.819,2.296.822.068,,812616104.0,15004007819.0,15004007819.0,2296822068.0
,,,9.630.996,24.916.005.411,108.842.164.770,116.068.313.335,19.992.691.899,9630996.0,24916005411.0,108842164770.0,116068313335.0,19992691899.0
