row_label_raw,row_label_full,Mã số,CHỈ TIỀU,Thuyết minh,Năm 2018,Năm 2017,numeric__CHỈ TIỀU,numeric__Thuyết minh,numeric__Năm 2018,numeric__Năm 2017
,,,,,VND,VND,,,,
01,01,01,1. Doanh thu bán hàng và cung cấp dịch vụ,24,3.225.760.242.714,2.323.988.297.135,,24.0,3225760242714.0,2323988297135.0
02,02,02,2. Các khoản giảm trừ doanh thu,,-,-,,,,
10,02 > 10,10,3. Doanh thu thuần bán hàng và cung cấp dịch vụ,,3.225.760.242.714,2.323.988.297.135,,,3225760242714.0,2323988297135.0
11,02 > 11,11,4. Giá vốn hàng bán,25,2.843.754.415.319,2.064.290.165.059,,25.0,2843754415319.0,2064290165059.0
20,02 > 20,20,5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,,382.005.827.395,259.698.132.076,,,382005827395.0,259698132076.0
21,02 > 21,21,6. Doanh thu hoạt động tài chính,26,69.636.173.621,31.949.560.506,,26.0,69636173621.0,31949560506.0
22,02 > 22,22,7. Chi phí tài chính,27,91.854.975.641,54.251.226.451,,27.0,91854975641.0,54251226451.0
23,02 > 23,23,Trong đó: Chi phí lãi vay,,94.388.752.959,45.995.098.271,,,94388752959.0,45995098271.0
25,02 > 25,25,8. Chi phí bán hàng,28,17.880.486.798,11.542.066.655,,28.0,17880486798.0,11542066655.0
26,02 > 26,26,9. Chi phí quản lý doanh nghiệp,29,63.401.405.143,49.378.206.340,,29.0,63401405143.0,49378206340.0
30,02 > 30,30,10. Lợi nhuận thuần từ hoạt động kinh doanh,,278.505.133.434,176.476.193.136,,,278505133434.0,176476193136.0
31,02 > 31,31,11. Thu nhập khác,30,44.578.005.636,40.105.108.154,,30.0,44578005636.0,40105108154.0
32,02 > 32,32,12. Chi phí khác,31,4.487.051.826,256.905.080,,31.0,4487051826.0,256905080.0
40,02 > 40,40,13. Lợi nhuận khác,,40.090.953.810,39.848.203.074,,,40090953810.0,39848203074.0
50,02 > 50,50,14. Tổng lợi nhuận kế toán trước thuế,,318.596.087.244,216.324.396.210,,,318596087244.0,216324396210.0
51,02 > 51,51,15. Chi phí thuế thu nhập doanh nghiệp hiện hành,32,23.838.280.293,32.554.707.668,,32.0,23838280293.0,32554707668.0
52,52,52,16. Chi phí thuế thu nhập doanh nghiệp hoãn lại,,-,-,,,,
60,52 > 60,60,17. Lợi nhuận sau thuế thu nhập doanh nghiệp,,294.757.806.951,183.769.688.542,,,294757806951.0,183769688542.0
