row_label_raw,row_label_full,Tên công ty con,Nơi thành lập và hoạt động,Tỷ lệ lợi ích/Quyền biểu quyết,Tỷ lệ cam kết góp,Hoạt động kinh doanh chính,numeric__Nơi thành lập và hoạt động,numeric__Tỷ lệ lợi ích/Quyền biểu quyết,numeric__Tỷ lệ cam kết góp,numeric__Hoạt động kinh doanh chính
- Công ty TNHH MTV Xây lắp điện 1 - Đại Mỗ,- Công ty TNHH MTV Xây lắp điện 1 - Đại Mỗ,- Công ty TNHH MTV Xây lắp điện 1 - Đại Mỗ,Hà Nội,100%,100%,Xây lắp điện,,1.0,1.0,
- Công ty TNHH MTV Xây lắp điện 1 - Hà Nội,- Công ty TNHH MTV Xây lắp điện 1 - Hà Nội,- Công ty TNHH MTV Xây lắp điện 1 - Hà Nội,Hà Nội,100%,100%,Xây lắp điện,,1.0,1.0,
- Công ty TNHH MTV Xây lắp điện I - Miền Nam,- Công ty TNHH MTV Xây lắp điện I - Miền Nam,- Công ty TNHH MTV Xây lắp điện I - Miền Nam,TP Hồ Chí Minh,100%,100%,Xây lắp điện,,1.0,1.0,
- Công ty TNHH MTV Xây lắp điện 1 - Miền Bắc,- Công ty TNHH MTV Xây lắp điện 1 - Miền Bắc,- Công ty TNHH MTV Xây lắp điện 1 - Miền Bắc,Hà Nội,100%,100%,Xây lắp điện,,1.0,1.0,
- Công ty TNHH MTV Xây lắp điện 1 - Mỹ Đình,- Công ty TNHH MTV Xây lắp điện 1 - Mỹ Đình,- Công ty TNHH MTV Xây lắp điện 1 - Mỹ Đình,Hà Nội,100%,100%,Xây lắp điện,,1.0,1.0,
- Công ty TNHH MTV Xây lắp điện 1 - Từ Liêm,- Công ty TNHH MTV Xây lắp điện 1 - Từ Liêm,- Công ty TNHH MTV Xây lắp điện 1 - Từ Liêm,Hà Nội,100%,100%,Xây lắp điện,,1.0,1.0,
- Công ty TNHH MTV Xây lắp điện 1 - Hà Đông,- Công ty TNHH MTV Xây lắp điện 1 - Hà Đông,- Công ty TNHH MTV Xây lắp điện 1 - Hà Đông,Hà Nội,100%,100%,Xây lắp điện,,1.0,1.0,
- Công ty TNHH MTV Xây lắp điện 1 - Nàng Hương,- Công ty TNHH MTV Xây lắp điện 1 - Nàng Hương,- Công ty TNHH MTV Xây lắp điện 1 - Nàng Hương,Hà Nội,100%,100%,Dịch vụ,,1.0,1.0,
- Công ty TNHH MTV Xây lắp điện 1 - Hoàng Mai,- Công ty TNHH MTV Xây lắp điện 1 - Hoàng Mai,- Công ty TNHH MTV Xây lắp điện 1 - Hoàng Mai,Hà Nội,100%,100%,Xây lắp điện,,1.0,1.0,
- Công ty TNHH MTV Xây lắp điện 1 - Ninh Bình,- Công ty TNHH MTV Xây lắp điện 1 - Ninh Bình,- Công ty TNHH MTV Xây lắp điện 1 - Ninh Bình,Ninh Bình,100%,100%,Xây lắp điện,,1.0,1.0,
- Công ty TNHH Chế tạo Cột thép Đông Anh,- Công ty TNHH Chế tạo Cột thép Đông Anh,- Công ty TNHH Chế tạo Cột thép Đông Anh,Hà Nội,"90,00%","90,00%","Sản xuất các sản phẩm dầu những thủy lực, đầu cắt gọt kim loại",,0.9,0.9,
