row_label_raw,row_label_full,col_0,01/01/2018 > Giá trị,01/01/2018 > Số có khả năng trả,Trong năm > Tăng,Trong năm > Giảm,31/12/2018 > Giá trị,31/12/2018 > Số có khả năng trả nợ,numeric__01/01/2018 > Giá trị,numeric__01/01/2018 > Số có khả năng trả,numeric__Trong năm > Tăng,numeric__Trong năm > Giảm,numeric__31/12/2018 > Giá trị,numeric__31/12/2018 > Số có khả năng trả nợ
,,,VND,VND,VND,VND,VND,VND,,,,,,
a) Vay ngắn hạn,a) Vay ngắn hạn,a) Vay ngắn hạn,a) Vay ngắn hạn,a) Vay ngắn hạn,a) Vay ngắn hạn,a) Vay ngắn hạn,a) Vay ngắn hạn,a) Vay ngắn hạn,,,,,,
- Vay ngắn hạn,a) Vay ngắn hạn > - Vay ngắn hạn,- Vay ngắn hạn,113.520.600.000,113.520.600.000,935.965.764.880,621.168.679.395,428.317.685.485,428.317.685.485,113520600000.0,113520600000.0,935965764880.0,621168679395.0,428317685485.0,428317685485.0
- Vay và nợ dài hạn đến hạn trả,a) Vay ngắn hạn > - Vay và nợ dài hạn đến hạn trả,- Vay và nợ dài hạn đến hạn trả,21.616.931.034,21.616.931.034,155.926.047.679,177.542.978.713,-,-,21616931034.0,21616931034.0,155926047679.0,177542978713.0,,
,,,135.137.531.034,135.137.531.034,1.091.891.812.559,798.711.658.108,428.317.685.485,428.317.685.485,135137531034.0,135137531034.0,1091891812559.0,798711658108.0,428317685485.0,428317685485.0
b) Vay dài hạn,b) Vay dài hạn,b) Vay dài hạn,b) Vay dài hạn,b) Vay dài hạn,b) Vay dài hạn,b) Vay dài hạn,b) Vay dài hạn,b) Vay dài hạn,,,,,,
- Vay dài hạn,b) Vay dài hạn > - Vay dài hạn,- Vay dài hạn,951.036.429.021,951.036.429.021,153.514.115.675,177.542.978.713,927.007.565.983,927.007.565.983,951036429021.0,951036429021.0,153514115675.0,177542978713.0,927007565983.0,927007565983.0
,,,951.036.429.021,951.036.429.021,153.514.115.675,177.542.978.713,927.007.565.983,927.007.565.983,951036429021.0,951036429021.0,153514115675.0,177542978713.0,927007565983.0,927007565983.0
Khoản đến hạn trả trong vòng 12 tháng,b) Vay dài hạn > Khoản đến hạn trả trong vòng 12 tháng,Khoản đến hạn trả trong vòng 12 tháng,(21.616.931.034),(21.616.931.034),(155.926.047.679),(177.542.978.713),-,-,-21616931034.0,-21616931034.0,-155926047679.0,-177542978713.0,,
Khoản đến hạn trả sau 12 tháng,b) Vay dài hạn > Khoản đến hạn trả sau 12 tháng,Khoản đến hạn trả sau 12 tháng,929.419.497.987,929.419.497.987,,,927.007.565.983,927.007.565.983,929419497987.0,929419497987.0,,,927007565983.0,927007565983.0
