row_label_raw,row_label_full,col_0,Năm 2018,Năm 2017,numeric__Năm 2018,numeric__Năm 2017
,,,VND,VND,,
Giá vốn hoạt động xây lắp,Giá vốn hoạt động xây lắp,Giá vốn hoạt động xây lắp,1.315.672.590.310,1.255.453.509.296,1315672590310.0,1255453509296.0
Giá vốn hoạt động sản xuất công nghiệp,Giá vốn hoạt động sản xuất công nghiệp,Giá vốn hoạt động sản xuất công nghiệp,14.350.520.909,26.075.501.329,14350520909.0,26075501329.0
Giá vốn kinh doanh bất động sản đầu tư,Giá vốn kinh doanh bất động sản đầu tư,Giá vốn kinh doanh bất động sản đầu tư,6.579.966.803,6.281.288.148,6579966803.0,6281288148.0
Giá vốn chuyển nhượng bất động sản,Giá vốn chuyển nhượng bất động sản,Giá vốn chuyển nhượng bất động sản,-,3.852.897.896,,3852897896.0
Giá vốn mua bán điện,Giá vốn mua bán điện,Giá vốn mua bán điện,149.958.249.863,57.920.515.071,149958249863.0,57920515071.0
Giá vốn chuyển nhượng dự án Thủy điện Mông Ân (*),Giá vốn chuyển nhượng dự án Thủy điện Mông Ân (*),Giá vốn chuyển nhượng dự án Thủy điện Mông Ân (*),114.420.541.706,-,114420541706.0,
Giá vốn của hàng hóa đã bán,Giá vốn của hàng hóa đã bán,Giá vốn của hàng hóa đã bán,1.221.954.743.074,699.813.249.359,1221954743074.0,699813249359.0
Giá vốn khác,Giá vốn khác,Giá vốn khác,20.817.802.654,14.893.203.960,20817802654.0,14893203960.0
,,,2.843.754.415.319,2.064.290.165.059,2843754415319.0,2064290165059.0
