row_label_raw,row_label_full,Thuế TNDN từ hoạt động kinh doanh thủy điện,Thuế TNDN từ hoạt động kinh doanh thủy điện_1,Thuế TNDN từ hoạt động kinh doanh thủy điện_2,numeric__Thuế TNDN từ hoạt động kinh doanh thủy điện_1,numeric__Thuế TNDN từ hoạt động kinh doanh thủy điện_2
Thu nhập tính thuế TNDN từ hoạt động thủy điện,Thu nhập tính thuế TNDN từ hoạt động thủy điện,Thu nhập tính thuế TNDN từ hoạt động thủy điện,177.751.697.151,37.083.799.889,177751697151.0,37083799889.0
Các khoản điều chỉnh thuế TNDN của các kỳ trước vào thuế thu nhập,Các khoản điều chỉnh thuế TNDN của các kỳ trước vào thuế thu nhập,Các khoản điều chỉnh thuế TNDN của các kỳ trước vào thuế thu nhập,1.325.767.853,,1325767853.0,
doanh nghiệp năm nay (thuế TNDN năm 2017),doanh nghiệp năm nay (thuế TNDN năm 2017),doanh nghiệp năm nay (thuế TNDN năm 2017),,,,
