row_label_raw,row_label_full,col_0,Xây lắp,Sản xuất công nghiệp,Bất động sản,Hoạt động bán hàng,Năng lượng,Các hoạt động khác,Tổng cộng toàn doanh nghiệp,numeric__Xây lắp,numeric__Sản xuất công nghiệp,numeric__Bất động sản,numeric__Hoạt động bán hàng,numeric__Năng lượng,numeric__Các hoạt động khác,numeric__Tổng cộng toàn doanh nghiệp
,,,VND,VND,VND,VND,VND,VND,VND,,,,,,,
Doanh thu thuần từ bán hàng ra bên ngoài,Doanh thu thuần từ bán hàng ra bên ngoài,Doanh thu thuần từ bán hàng ra bên ngoài,1.387.422.113.315,15.373.436.937,14.304.431.920,1.257.515.443.531,406.393.594.195,144.751.222.816,3.225.760.242.714,1387422113315.0,15373436937.0,14304431920.0,1257515443531.0,406393594195.0,144751222816.0,3225760242714.0
Giá vốn hàng bán,Giá vốn hàng bán,Giá vốn hàng bán,1.315.672.590.310,14.350.520.909,6.579.966.803,1.221.954.743.074,149.958.249.863,135.238.344.360,2.843.754.415.319,1315672590310.0,14350520909.0,6579966803.0,1221954743074.0,149958249863.0,135238344360.0,2843754415319.0
Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,71.749.523.005,1.022.916.028,7.724.465.117,35.560.700.457,256.435.344.332,9.512.878.456,382.005.827.395,71749523005.0,1022916028.0,7724465117.0,35560700457.0,256435344332.0,9512878456.0,382005827395.0
Tổng chi phí mua TSCĐ,Tổng chi phí mua TSCĐ,Tổng chi phí mua TSCĐ,1.054.086.926,-,-,-,49.548.670.236,-,50.602.757.162,1054086926.0,,,,49548670236.0,,50602757162.0
Tài sản bộ phận,Tài sản bộ phận,Tài sản bộ phận,760.396.292.045,5.456.019.994,145.387.230.569,91.751.597.695,1.913.003.272.778,140.742.740.621,3.056.737.153.702,760396292045.0,5456019994.0,145387230569.0,91751597695.0,1913003272778.0,140742740621.0,3056737153702.0
Tài sản không phân bổ,Tài sản không phân bổ,Tài sản không phân bổ,-,-,-,-,-,-,1.880.662.893.493,,,,,,,1880662893493.0
Tổng tài sản,Tổng tài sản,Tổng tài sản,760.396.292.045,5.456.019.994,145.387.230.569,91.751.597.695,1.913.003.272.778,140.742.740.621,4.937.400.047.195,760396292045.0,5456019994.0,145387230569.0,91751597695.0,1913003272778.0,140742740621.0,4937400047195.0
Nợ phải trả bộ phận,Nợ phải trả bộ phận,Nợ phải trả bộ phận,453.930.480.513,3.921.336.614,19.591.814.521,74.106.029.736,1.078.827.606.838,3.587.377.667,1.633.964.645.889,453930480513.0,3921336614.0,19591814521.0,74106029736.0,1078827606838.0,3587377667.0,1633964645889.0
Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,-,-,-,-,-,-,500.899.115.016,,,,,,,500899115016.0
Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả,453.930.480.513,3.921.336.614,19.591.814.521,74.106.029.736,1.078.827.606.838,3.587.377.667,2.134.863.760.905,453930480513.0,3921336614.0,19591814521.0,74106029736.0,1078827606838.0,3587377667.0,2134863760905.0
