row_label_raw,row_label_full,Tên đơn vị > Công ty Cổ phần Giải pháp và Dịch vụ Phần mềm Nam Việt (i),Số cuối năm > Giá trị (VND) > 17.995.000.000,Số cuối năm > Giá trị hợp lý (VND) > (ii),Số đầu năm > Giá trị (VND) > -,Số đầu năm > Giá trị hợp lý (VND) > -,numeric__Số cuối năm > Giá trị (VND) > 17.995.000.000,numeric__Số cuối năm > Giá trị hợp lý (VND) > (ii),numeric__Số đầu năm > Giá trị (VND) > -,numeric__Số đầu năm > Giá trị hợp lý (VND) > -
Công ty Nhựa Bao bì Vinh,Công ty Nhựa Bao bì Vinh,Công ty Nhựa Bao bì Vinh,-,-,17.353.094.158,16.875.000.000,,,17353094158.0,16875000000.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,17.995.000.000,(ii),17.353.094.158,16.875.000.000,17995000000.0,,17353094158.0,16875000000.0
