row_label_raw,row_label_full,Bên liên quan > Phải trả người bán ngắn hạn (Thuyết minh số 15.1),Mối quan hệ > Phải trả người bán ngắn hạn (Thuyết minh số 15.1),Nội dung nghiệp vụ > Phải trả người bán ngắn hạn (Thuyết minh số 15.1),Số cuối năm > Phải trả người bán ngắn hạn (Thuyết minh số 15.1),Đơn vị tính: VND > Số đầu năm,numeric__Mối quan hệ > Phải trả người bán ngắn hạn (Thuyết minh số 15.1),numeric__Nội dung nghiệp vụ > Phải trả người bán ngắn hạn (Thuyết minh số 15.1),numeric__Số cuối năm > Phải trả người bán ngắn hạn (Thuyết minh số 15.1),numeric__Đơn vị tính: VND > Số đầu năm
Công ty An Tín,Công ty An Tín,Công ty An Tín,Công ty con,Mua dịch vụ vận tải,27.635.669.965,-,,,27635669965.0,
Công ty An Tiến,Công ty An Tiến,Công ty An Tiến,Công ty con,Mua hàng hóa,1.592.951.086,2.142.773.448,,,1592951086.0,2142773448.0
Công ty Sunrise,Công ty Sunrise,Công ty Sunrise,Công ty liên kết của công ty con,Mua hàng hóa,210.662.980,-,,,210662980.0,
Công ty An Thành,Công ty An Thành,Công ty An Thành,Công ty con,Mua hàng hóa,-,12.975.324.590,,,,12975324590.0
Bên liên quan khác,Bên liên quan khác,Bên liên quan khác,,,-,479.760.730,,,,479760730.0
,,,,,29.439.284.031,15.597.858.768,,,29439284031.0,15597858768.0
Phải trả người bán dài hạn (Thuyết minh số 15.1),Phải trả người bán dài hạn (Thuyết minh số 15.1),Phải trả người bán dài hạn (Thuyết minh số 15.1),Phải trả người bán dài hạn (Thuyết minh số 15.1),Phải trả người bán dài hạn (Thuyết minh số 15.1),Phải trả người bán dài hạn (Thuyết minh số 15.1),Phải trả người bán dài hạn (Thuyết minh số 15.1),,,,
Công ty An Tín,Phải trả người bán dài hạn (Thuyết minh số 15.1) > Công ty An Tín,Công ty An Tín,Công ty con,Mua dịch vụ vận tải,-,12.432.218.345,,,,12432218345.0
Công ty Sunrise,Phải trả người bán dài hạn (Thuyết minh số 15.1) > Công ty Sunrise,Công ty Sunrise,Công ty liên kết,Mua hàng hóa,-,10.360.718.467,,,,10360718467.0
,,,,,-,22.792.936.812,,,,22792936812.0
Người mua trả tiền trước ngắn hạn (Thuyết minh số 15.2),Người mua trả tiền trước ngắn hạn (Thuyết minh số 15.2),Người mua trả tiền trước ngắn hạn (Thuyết minh số 15.2),Người mua trả tiền trước ngắn hạn (Thuyết minh số 15.2),Người mua trả tiền trước ngắn hạn (Thuyết minh số 15.2),Người mua trả tiền trước ngắn hạn (Thuyết minh số 15.2),Người mua trả tiền trước ngắn hạn (Thuyết minh số 15.2),,,,
Công ty An Tiến,Người mua trả tiền trước ngắn hạn (Thuyết minh số 15.2) > Công ty An Tiến,Công ty An Tiến,Công ty con,Bán hàng hóa,117.226.905,20.114.768.950,,,117226905.0,20114768950.0
,,,,,117.226.905,20.114.768.950,,,117226905.0,20114768950.0
Phải trả ngắn hạn khác (Thuyết minh số 18),Phải trả ngắn hạn khác (Thuyết minh số 18),Phải trả ngắn hạn khác (Thuyết minh số 18),Phải trả ngắn hạn khác (Thuyết minh số 18),Phải trả ngắn hạn khác (Thuyết minh số 18),Phải trả ngắn hạn khác (Thuyết minh số 18),Phải trả ngắn hạn khác (Thuyết minh số 18),,,,
Công ty An Tín,Phải trả ngắn hạn khác (Thuyết minh số 18) > Công ty An Tín,Công ty An Tín,Công ty con,Mua dịch vụ,1.263.629.290,3.217.979.865,,,1263629290.0,3217979865.0
Công ty An Phát Complex 1,Phải trả ngắn hạn khác (Thuyết minh số 18) > Công ty An Phát Complex 1,Công ty An Phát Complex 1,Công ty con,Phải trả lãi vay,-,8.284.932,,,,8284932.0
,,,,,1.263.629.290,3.226.264.797,,,1263629290.0,3226264797.0
Vay dài hạn (Thuyết minh số 19),Vay dài hạn (Thuyết minh số 19),Vay dài hạn (Thuyết minh số 19),Vay dài hạn (Thuyết minh số 19),Vay dài hạn (Thuyết minh số 19),Vay dài hạn (Thuyết minh số 19),Vay dài hạn (Thuyết minh số 19),,,,
Công ty An Tín,Vay dài hạn (Thuyết minh số 19) > Công ty An Tín,Công ty An Tín,Công ty con,Vay dài hạn,-,10.000.000.000,,,,10000000000.0
Công ty An Phát Complex 1,Vay dài hạn (Thuyết minh số 19) > Công ty An Phát Complex 1,Công ty An Phát Complex 1,Công ty con,Vay dài hạn,-,7.200.000.000,,,,7200000000.0
,,,,,-,17.200.000.000,,,,17200000000.0
