row_label_raw,row_label_full,Bên liên quan > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6),Mối quan hệ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6),Nội dung nghiệp vụ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6),Số cuối năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6),Đơn vị tính: VND Số đầu năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6),numeric__Mối quan hệ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6),numeric__Nội dung nghiệp vụ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6),numeric__Số cuối năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6),numeric__Đơn vị tính: VND Số đầu năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6)
Công ty An Thành Singapore,Công ty An Thành Singapore,Công ty An Thành Singapore,Công ty con,Bán hàng hóa,222.798.246.095,25.149.164.739,,,222798246095.0,25149164739.0
Công ty An Thành,Công ty An Thành,Công ty An Thành,Công ty con,"Bán hàng hóa, dịch vụ cho thuê xe và cho thuê kho",193.600.852.989,151.053.301.088,,,193600852989.0,151053301088.0
"An Phat International, Inc.","An Phat International, Inc.","An Phat International, Inc.",Công ty con (kể từ ngày 15 tháng 4 năm 2021),Bán hàng hóa,82.432.622.221,7.272.739.196,,,82432622221.0,7272739196.0
Công ty Ankor Bioplastics,Công ty Ankor Bioplastics,Công ty Ankor Bioplastics,Công ty có cùng lãnh đạo chủ chốt,Bán hàng hóa,4.998.912.000,-,,,4998912000.0,
Công ty An Vinh,Công ty An Vinh,Công ty An Vinh,Công ty con,Bán hàng hóa và dịch vụ cho thuê xe,3.799.482.054,25.979.674.225,,,3799482054.0,25979674225.0
Công ty An Cường,Công ty An Cường,Công ty An Cường,Công ty cùng Tập đoàn,Bán hàng hóa và dịch vụ cho thuê xe,64.453.721,41.430.372.941,,,64453721.0,41430372941.0
Bên liên quan khác,Bên liên quan khác,Bên liên quan khác,,,2.765.549.914,1.776.204.390,,,2765549914.0,1776204390.0
,,,,,510.460.118.994,252.661.456.579,,,510460118994.0,252661456579.0
Phải thu dài hạn của khách hàng (Thuyết minh số 6),Phải thu dài hạn của khách hàng (Thuyết minh số 6),Phải thu dài hạn của khách hàng (Thuyết minh số 6),Phải thu dài hạn của khách hàng (Thuyết minh số 6),Phải thu dài hạn của khách hàng (Thuyết minh số 6),Phải thu dài hạn của khách hàng (Thuyết minh số 6),Phải thu dài hạn của khách hàng (Thuyết minh số 6),,,,
Công ty An Cường,Phải thu dài hạn của khách hàng (Thuyết minh số 6) > Công ty An Cường,Công ty An Cường,Công ty cùng Tập đoàn,Bán hàng hóa,97.326.405.383,35.000.000.000,,,97326405383.0,35000000000.0
,,,,,97.326.405.383,35.000.000.000,,,97326405383.0,35000000000.0
