row_label_raw,row_label_full,col_0,Số cuối năm > Giá trị (VND),Số cuối năm > Giá trị hợp lý (VND),Số cuối năm > Tỷ lệ vốn năm giữ trực tiếp,Số cuối năm > Tỷ lệ biểu quyết,Số đầu năm > Giá trị (VND),Số đầu năm > Giá trị hợp lý (VND),Số đầu năm > Tỷ lệ vốn năm giữ trực tiếp,Số đầu năm > Tỷ lệ biểu quyết,numeric__Số cuối năm > Giá trị (VND),numeric__Số cuối năm > Giá trị hợp lý (VND),numeric__Số cuối năm > Tỷ lệ vốn năm giữ trực tiếp,numeric__Số cuối năm > Tỷ lệ biểu quyết,numeric__Số đầu năm > Giá trị (VND),numeric__Số đầu năm > Giá trị hợp lý (VND),numeric__Số đầu năm > Tỷ lệ vốn năm giữ trực tiếp,numeric__Số đầu năm > Tỷ lệ biểu quyết
Công ty An Tiến (i),Công ty An Tiến (i),Công ty An Tiến (i),194.826.838.436,397.190.681.650,"50,51","50,51",245.094.519.238,354.109.366.200,"63,54","63,54",194826838436.0,397190681650.0,50.51,50.51,245094519238.0,354109366200.0,63.54,63.54
Công ty An Phát Complex (ii),Công ty An Phát Complex (ii),Công ty An Phát Complex (ii),910.000.000.000,(*),"92,06","92,06",910.000.000.000,(*),"100,00","100,00",910000000000.0,,92.06,92.06,910000000000.0,,100.0,100.0
Công ty An Vinh (iii),Công ty An Vinh (iii),Công ty An Vinh (iii),362.751.510.000,(*),"86,46","86,46",243.000.000.000,(*),"56,51","56,51",362751510000.0,,86.46,86.46,243000000000.0,,56.51,56.51
"An Phat International, Inc. (iv)","An Phat International, Inc. (iv)","An Phat International, Inc. (iv)",201.414.127.952,(*),"99,998","99,998",-,(*),-,-,201414127952.0,,99.998,99.998,,,,
Công ty An Thành,Công ty An Thành,Công ty An Thành,67.200.000.000,(*),"30,11","99,37",67.200.000.000,(*),"30,11","74,12",67200000000.0,,30.11,99.37,67200000000.0,,30.11,74.12
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,1.736.192.476.388,,,,1.465.294.519.238,,,,1736192476388.0,,,,1465294519238.0,,,
