row_label_raw,row_label_full,col_0,Thuyết minh,Số đầu năm > Giá trị,Số đầu năm > Số có khả năng trả nợ,Số phát sinh trong năm > Tăng,Số phát sinh trong năm > Giảm,Chênh lệch tỷ giá,Đơn vị tính: VND > Số cuối năm,Đơn vị tính: VND > Số cuối năm_1,numeric__Thuyết minh,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > Số có khả năng trả nợ,numeric__Số phát sinh trong năm > Tăng,numeric__Số phát sinh trong năm > Giảm,numeric__Chênh lệch tỷ giá,numeric__Đơn vị tính: VND > Số cuối năm,numeric__Đơn vị tính: VND > Số cuối năm_1
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,,,,,,,,
Vay ngân hàng,Vay ngắn hạn > Vay ngân hàng,Vay ngân hàng,19.1,1.705.340.186.333,1.705.340.186.333,4.310.513.483.117,(4.614.560.768.367),(96.923.500),1.401.195.977.583,1.401.195.977.583,191.0,1705340186333.0,1705340186333.0,4310513483117.0,-4614560768367.0,-96923500.0,1401195977583.0,1401195977583.0
Vay dài hạn đến hạn trả,Vay ngắn hạn > Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,19.2,30.329.985.471,30.329.985.471,1.910.000.000,(30.329.985.471),-,1.910.000.000,1.910.000.000,192.0,30329985471.0,30329985471.0,1910000000.0,-30329985471.0,,1910000000.0,1910000000.0
Trái phiếu phát hành đến hạn trả,Vay ngắn hạn > Trái phiếu phát hành đến hạn trả,Trái phiếu phát hành đến hạn trả,19.3,446.128.863.627,446.128.863.627,3.871.136.373,(450.000.000.000),-,-,-,193.0,446128863627.0,446128863627.0,3871136373.0,-450000000000.0,,,
TỔNG CỘNG,Vay ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,,2.181.799.035.431,2.181.799.035.431,4.316.294.619.490,(5.094.890.753.838),(96.923.500),1.403.105.977.583,1.403.105.977.583,,2181799035431.0,2181799035431.0,4316294619490.0,-5094890753838.0,-96923500.0,1403105977583.0,1403105977583.0
Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,,,,,,,,
Vay ngân hàng,Vay dài hạn > Vay ngân hàng,Vay ngân hàng,19.2,224.582.834.745,224.582.834.745,233.891.502.256,(165.656.365.253),-,292.817.971.748,292.817.971.748,192.0,224582834745.0,224582834745.0,233891502256.0,-165656365253.0,,292817971748.0,292817971748.0
Vay bên liên quan,Vay dài hạn > Vay bên liên quan,Vay bên liên quan,29,17.200.000.000,17.200.000.000,-,(17.200.000.000),-,-,-,29.0,17200000000.0,17200000000.0,,-17200000000.0,,,
Vay cá nhân,Vay dài hạn > Vay cá nhân,Vay cá nhân,,16.200.000.000,16.200.000.000,-,(16.200.000.000),-,-,-,,16200000000.0,16200000000.0,,-16200000000.0,,,
Trái phiếu phát hành,Vay dài hạn > Trái phiếu phát hành,Trái phiếu phát hành,19.3,-,-,470.474.924.242,(8.548.636.364),-,461.926.287.878,461.926.287.878,193.0,,,470474924242.0,-8548636364.0,,461926287878.0,461926287878.0
TỔNG CỘNG,Vay dài hạn > TỔNG CỘNG,TỔNG CỘNG,,257.982.834.745,257.982.834.745,704.366.426.498,(207.605.001.617),-,754.744.259.626,754.744.259.626,,257982834745.0,257982834745.0,704366426498.0,-207605001617.0,,754744259626.0,754744259626.0
TỔNG CỘNG,Vay dài hạn > TỔNG CỘNG,TỔNG CỘNG,,2.439.781.870.176,2.439.781.870.176,5.020.661.045.988,(5.302.495.755.455),(96.923.500),2.157.850.237.209,2.157.850.237.209,,2439781870176.0,2439781870176.0,5020661045988.0,-5302495755455.0,-96923500.0,2157850237209.0,2157850237209.0
