row_label_raw,row_label_full,Bên liên quan > Trả trước cho người bán ngắn hạn (Thuyết minh số 7),Môi quan hệ > Trả trước cho người bán ngắn hạn (Thuyết minh số 7),Nội dung nghiệp vụ > Trả trước cho người bán ngắn hạn (Thuyết minh số 7),Số cuối năm > Trả trước cho người bán ngắn hạn (Thuyết minh số 7),Đơn vị tính: VND Số đầu năm > Trả trước cho người bán ngắn hạn (Thuyết minh số 7),numeric__Môi quan hệ > Trả trước cho người bán ngắn hạn (Thuyết minh số 7),numeric__Nội dung nghiệp vụ > Trả trước cho người bán ngắn hạn (Thuyết minh số 7),numeric__Số cuối năm > Trả trước cho người bán ngắn hạn (Thuyết minh số 7),numeric__Đơn vị tính: VND Số đầu năm > Trả trước cho người bán ngắn hạn (Thuyết minh số 7)
Công ty An Thành Công ty An Thành Singapore Công ty Ankor Bioplastics,Công ty An Thành Công ty An Thành Singapore Công ty Ankor Bioplastics,Công ty An Thành Công ty An Thành Singapore Công ty Ankor Bioplastics,Công ty con Công ty con,Mua hàng hóa Mua hàng hóa,32.736.252.51023.363.247.900,-16.304.506.611,,,3.273625251023363e+21,-16304506611.0
Công ty An Thành Công ty An Thành Singapore Công ty Ankor Bioplastics,Công ty An Thành Công ty An Thành Singapore Công ty Ankor Bioplastics,Công ty An Thành Công ty An Thành Singapore Công ty Ankor Bioplastics,Công ty có cùng lãnh đạo chủ chốt,,2.255.241.688,2.452.714.488,,,2255241688.0,2452714488.0
"An Phat International, Inc.","An Phat International, Inc.","An Phat International, Inc.",Công ty con (kể từ ngày 15 tháng 4 năm 2021),Mua hàng hóa,-,14.851.991.594,,,,14851991594.0
Công ty An Trung,Công ty An Trung,Công ty An Trung,Công ty cùng Tập đoàn,Mua hàng hóa,-,6.823.799.288,,,,6823799288.0
,,,,,58.354.742.098,40.433.011.981,,,58354742098.0,40433011981.0
Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,,,,
Công ty An Phát Complex,Phải thu về cho vay ngắn hạn > Công ty An Phát Complex,Công ty An Phát Complex,Công ty con,Cho vay,-,79.660.000.000,,,,79660000000.0
,,,,,-,79.660.000.000,,,,79660000000.0
Phải thu ngắn hạn khác (Thuyết minh số 8),Phải thu ngắn hạn khác (Thuyết minh số 8),Phải thu ngắn hạn khác (Thuyết minh số 8),Phải thu ngắn hạn khác (Thuyết minh số 8),Phải thu ngắn hạn khác (Thuyết minh số 8),Phải thu ngắn hạn khác (Thuyết minh số 8),Phải thu ngắn hạn khác (Thuyết minh số 8),,,,
Công ty An Phát Complex,Phải thu ngắn hạn khác (Thuyết minh số 8) > Công ty An Phát Complex,Công ty An Phát Complex,Công ty con,Phải thu vốn góp từ Hợp đồng hợp tác kinh doanh,210.000.000.000,400.000.000.000,,,210000000000.0,400000000000.0
Công ty An Phát Complex,Phải thu ngắn hạn khác (Thuyết minh số 8) > Công ty An Phát Complex,Công ty An Phát Complex,Công ty con,Phải thu lợi nhuận được chia từ Hợp đồng hợp tác kinh doanh,70.841.309.754,53.121.899.780,,,70841309754.0,53121899780.0
Công ty An Phát Complex,Phải thu ngắn hạn khác (Thuyết minh số 8) > Công ty An Phát Complex,Công ty An Phát Complex,Công ty con,Lãi phải thu,2.573.035.068,5.294.850.137,,,2573035068.0,5294850137.0
"Ông Phạm Ánh Dương An Phat International, Inc.","Phải thu ngắn hạn khác (Thuyết minh số 8) > Ông Phạm Ánh Dương An Phat International, Inc.","Ông Phạm Ánh Dương An Phat International, Inc.",Chủ tịch Hội đồng Quản trị Công ty con (kể từ ngày 15 tháng 4 năm 2021),Phải thu từ chi trả hộ và tạm ứng Đặt cọc mua cổ phần,1.441.482.950,4.467.092.885,,,1441482950.0,4467092885.0
"Ông Phạm Ánh Dương An Phat International, Inc.","Phải thu ngắn hạn khác (Thuyết minh số 8) > Ông Phạm Ánh Dương An Phat International, Inc.","Ông Phạm Ánh Dương An Phat International, Inc.",Chủ tịch Hội đồng Quản trị Công ty con (kể từ ngày 15 tháng 4 năm 2021),Phải thu từ chi trả hộ và tạm ứng Đặt cọc mua cổ phần,-,115.829.400.000,,,,115829400000.0
Công ty An Cường Bên liên quan khác,Phải thu ngắn hạn khác (Thuyết minh số 8) > Công ty An Cường Bên liên quan khác,Công ty An Cường Bên liên quan khác,Công ty cùng Tập đoàn,Lãi dự thu,-,3.997.802.860,,,,3997802860.0
Công ty An Cường Bên liên quan khác,Phải thu ngắn hạn khác (Thuyết minh số 8) > Công ty An Cường Bên liên quan khác,Công ty An Cường Bên liên quan khác,Công ty cùng Tập đoàn,Lãi dự thu,408.555.713,1.337.217.906,,,408555713.0,1337217906.0
,,,,,285.264.383.485,584.048.263.568,,,285264383485.0,584048263568.0
