row_label_raw,row_label_full,Tên đơn vị,Số cuối năm > Giá trị (VND),Số cuối năm > Giá trị hợp lý (VND),Số đầu năm > Giá trị (VND),Số đầu năm > Giá trị hợp lý (VND),numeric__Số cuối năm > Giá trị (VND),numeric__Số cuối năm > Giá trị hợp lý (VND),numeric__Số đầu năm > Giá trị (VND),numeric__Số đầu năm > Giá trị hợp lý (VND)
Công ty Nhựa Hà Nội (i) (iii),Công ty Nhựa Hà Nội (i) (iii),Công ty Nhựa Hà Nội (i) (iii),378.589.623.614,311.450.280.000,360.055.546.231,418.971.397.600,378589623614.0,311450280000.0,360055546231.0,418971397600.0
Công ty Nhựa Bao bì Vinh (ii) (iii),Công ty Nhựa Bao bì Vinh (ii) (iii),Công ty Nhựa Bao bì Vinh (ii) (iii),74.316.719.775,66.900.966.400,-,-,74316719775.0,66900966400.0,,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,452.906.343.389,378.351.246.400,360.055.546.231,418.971.397.600,452906343389.0,378351246400.0,360055546231.0,418971397600.0
