row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Năm nay,Đơn vị tính: VNDNăm trước,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Năm nay,numeric__Đơn vị tính: VNDNăm trước
Công ty An Phát Complex,Công ty An Phát Complex,Công ty An Phát Complex,Công ty con,Lãi cho vayThu tiền về cho vayLợi nhuận hợp đồng hợp tác kinh doanhCho vay,1.278.184.93179.660.000.000,10.906.398.617292.640.000.000,,,1.2781849317966e+20,1.090639861729264e+22
Công ty An Phát Complex,Công ty An Phát Complex,Công ty An Phát Complex,Công ty con,Lãi cho vayThu tiền về cho vayLợi nhuận hợp đồng hợp tác kinh doanhCho vay,17.719.409.974-,5.611.548.480372.300.000.000,,,,5.6115484803723e+21
Công ty An Phát Complex 1,Công ty An Phát Complex 1,Công ty An Phát Complex 1,Công ty con,Trả gốc vay,7.200.000.000,-,,,7200000000.0,
"AFC Ecoplastics, LLC.","AFC Ecoplastics, LLC.","AFC Ecoplastics, LLC.",Công ty con (kể từ ngày 15 tháng 4 năm 2021),Doanh thu bán hàng và cung cấp dịch vụ,28.181.826.322,-,,,28181826322.0,
Công ty Nhựa Hà Nội,Công ty Nhựa Hà Nội,Công ty Nhựa Hà Nội,Công ty liên kết,Cổ tức,7.376.257.000,2.500.000.000,,,7376257000.0,2500000000.0
Công ty Cổ phần Sản xuất Tổng hợp Sunrise Việt Nam,Công ty Cổ phần Sản xuất Tổng hợp Sunrise Việt Nam,Công ty Cổ phần Sản xuất Tổng hợp Sunrise Việt Nam,Công ty liên kết của công ty con,Doanh thu bán hàng và cung cấp dịch vụMua hàng hóa dịch vụCho vayThu tiền về cho vay,7.927.270.63458.917.046.10010.000.000.00010.000.000.000,9.031.079.47937.712.138.270-,,,7.927270634589171e+42,
Công ty TNHH An Trung Industries,Công ty TNHH An Trung Industries,Công ty TNHH An Trung Industries,Công ty cùng Tập đoàn,Doanh thu bán hàng và cung cấp dịch vụMua hàng hóa dịch vụCho vayThu tiền về cho vayLãi cho vay,214.790.91920.602.4487.200.000.0007.200.000.00047.084.931,124.196.872128.925.9207.300.000.0007.300.000.000-,,,2.147909192060245e+44,
Công ty TNHH MTV Cơ khí Chính xác và Chế tạo Khuôn mẫu Việt Nam,Công ty TNHH MTV Cơ khí Chính xác và Chế tạo Khuôn mẫu Việt Nam,Công ty TNHH MTV Cơ khí Chính xác và Chế tạo Khuôn mẫu Việt Nam,Công ty cùng Tập đoàn,Doanh thu bán hàng và cung cấp dịch vụMua hàng hóa dịch vụ,705.00013.500.000,387.500-,,,70500013500000.0,
Công ty Cổ phần Anbio,Công ty Cổ phần Anbio,Công ty Cổ phần Anbio,Công ty có cùng lãnh đạo chủ chốt,Doanh thu bán hàng và cung cấp dịch vụMua hàng hóa dịch vụ,13.817.087.255,-,,,13817087255.0,
Phạm Ánh Dương,Phạm Ánh Dương,Phạm Ánh Dương,Chủ tịch Hội đồng Quản trị (HĐQT),Tạm ứng/chỉ hộ,3.549.196.0724.093.524.840,7.617.674.639,,,3.5491960724093526e+19,7617674639.0
