row_label_raw,row_label_full,Năm trước > Số đầu năm > - Lợi nhuận thuần trong năm,Vốn cổ phần đã phát hành > 1.711.999.760.000 > -,Thặng dư vốn cổ phần > 532.127.689.329 > -,Quỹ đầu tư phát triển > 60.698.973.459 > -,Quỹ khác thuộc vốn chủ sở hữu > 11.612.477.781 > -,Lợi nhuận sau thuế chưa phân phối > 370.280.843.089 > 188.157.053.563,Đơn vị tính: VND Tổng cộng > 2.686.719.743.658 > 188.157.053.563,numeric__Vốn cổ phần đã phát hành > 1.711.999.760.000 > -,numeric__Thặng dư vốn cổ phần > 532.127.689.329 > -,numeric__Quỹ đầu tư phát triển > 60.698.973.459 > -,numeric__Quỹ khác thuộc vốn chủ sở hữu > 11.612.477.781 > -,numeric__Lợi nhuận sau thuế chưa phân phối > 370.280.843.089 > 188.157.053.563,numeric__Đơn vị tính: VND Tổng cộng > 2.686.719.743.658 > 188.157.053.563
- Tăng vốn,- Tăng vốn,- Tăng vốn,400.000.000.000,159.961.500.000,-,-,-,559.961.500.000,400000000000.0,159961500000.0,,,,559961500000.0
- Chia cổ tức bằng cổ phiếu,- Chia cổ tức bằng cổ phiếu,- Chia cổ tức bằng cổ phiếu,105.599.980.000,-,-,-,(105.599.980.000),-,105599980000.0,,,,-105599980000.0,
- Chia cổ tức bằng tiền,- Chia cổ tức bằng tiền,- Chia cổ tức bằng tiền,-,-,-,-,(105.599.988.000),(105.599.988.000),,,,,-105599988000.0,-105599988000.0
"- Trích quỹ khen thưởng, phúc lợi","- Trích quỹ khen thưởng, phúc lợi","- Trích quỹ khen thưởng, phúc lợi",-,-,-,-,(32.569.427.001),(32.569.427.001),,,,,-32569427001.0,-32569427001.0
- Trích quỹ đầu tư phát triển,- Trích quỹ đầu tư phát triển,- Trích quỹ đầu tư phát triển,-,-,11.631.938.214,-,(11.631.938.214),-,,,11631938214.0,,-11631938214.0,
Số cuối năm,Số cuối năm,Số cuối năm,2.217.599.740.000,692.089.189.329,72.330.911.673,11.612.477.781,303.036.563.437,3.296.668.882.220,2217599740000.0,692089189329.0,72330911673.0,11612477781.0,303036563437.0,3296668882220.0
Năm nay,Năm nay,Năm nay,,,,,,,,,,,,
Số đầu năm,Năm nay > Số đầu năm,Số đầu năm,2.217.599.740.000,692.089.189.329,72.330.911.673,11.612.477.781,303.036.563.437,3.296.668.882.220,2217599740000.0,692089189329.0,72330911673.0,11612477781.0,303036563437.0,3296668882220.0
- Lợi nhuận thuần trong năm,Năm nay > - Lợi nhuận thuần trong năm,- Lợi nhuận thuần trong năm,-,-,-,-,187.738.207.281,187.738.207.281,,,,,187738207281.0,187738207281.0
- Tăng vốn (*),Năm nay > - Tăng vốn (*),- Tăng vốn (*),750.000.000.000,317.262.154.488,-,-,-,1.067.262.154.488,750000000000.0,317262154488.0,,,,1067262154488.0
- Tăng vốn từ thặng dư vốn cổ phần (**),Năm nay > - Tăng vốn từ thặng dư vốn cổ phần (**),- Tăng vốn từ thặng dư vốn cổ phần (**),296.745.220.000,(296.745.220.000),-,-,-,-,296745220000.0,-296745220000.0,,,,
- Chia cổ tức bằng tiền (**),Năm nay > - Chia cổ tức bằng tiền (**),- Chia cổ tức bằng tiền (**),-,-,-,-,(148.379.987.000),(148.379.987.000),,,,,-148379987000.0,-148379987000.0
"- Trích quỹ khen thưởng, phúc lợi (**)","Năm nay > - Trích quỹ khen thưởng, phúc lợi (**)","- Trích quỹ khen thưởng, phúc lợi (**)",-,-,-,-,(37.631.410.712),(37.631.410.712),,,,,-37631410712.0,-37631410712.0
Số cuối năm,Năm nay > Số cuối năm,Số cuối năm,3.264.344.960.000,712.606.123.817,72.330.911.673,11.612.477.781,304.763.373.006,4.365.657.846.277,3264344960000.0,712606123817.0,72330911673.0,11612477781.0,304763373006.0,4365657846277.0
