row_label_raw,row_label_full,col_0,Số cuối năm > Giá trị,Số cuối năm > Số có khả năngtrả nợ,Số đầu năm > Giá trị,Số đầu năm > Số có khả năngtrả nợ,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Số có khả năngtrả nợ,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > Số có khả năngtrả nợ
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,,,
Phải trả người bán,Ngắn hạn > Phải trả người bán,Phải trả người bán,307.513.373.002,307.513.373.002,399.504.634.070,399.504.634.070,307513373002.0,307513373002.0,399504634070.0,399504634070.0
Đối tác doanh nghiệp số 4,Ngắn hạn > Đối tác doanh nghiệp số 4,Đối tác doanh nghiệp số 4,55.751.618.988,55.751.618.988,110.290.122.848,110.290.122.848,55751618988.0,55751618988.0,110290122848.0,110290122848.0
Đối tác doanh nghiệp số 5,Ngắn hạn > Đối tác doanh nghiệp số 5,Đối tác doanh nghiệp số 5,116.457.607.325,116.457.607.325,93.361.094.382,93.361.094.382,116457607325.0,116457607325.0,93361094382.0,93361094382.0
Đối tác doanh nghiệp số 6,Ngắn hạn > Đối tác doanh nghiệp số 6,Đối tác doanh nghiệp số 6,53.013.961.146,53.013.961.146,4.958.039.158,4.958.039.158,53013961146.0,53013961146.0,4958039158.0,4958039158.0
Khác,Ngắn hạn > Khác,Khác,82.290.185.543,82.290.185.543,190.895.377.682,190.895.377.682,82290185543.0,82290185543.0,190895377682.0,190895377682.0
Phải trả cho các bên liên quan (Thuyết minh số 29),Ngắn hạn > Phải trả cho các bên liên quan (Thuyết minh số 29),Phải trả cho các bên liên quan (Thuyết minh số 29),29.439.284.031,29.439.284.031,15.597.858.768,15.597.858.768,29439284031.0,29439284031.0,15597858768.0,15597858768.0
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,336.952.657.033,336.952.657.033,415.102.492.838,415.102.492.838,336952657033.0,336952657033.0,415102492838.0,415102492838.0
Dải hạn,Dải hạn,Dải hạn,Dải hạn,Dải hạn,Dải hạn,Dải hạn,,,,
Phải trả cho bên khác,Dải hạn > Phải trả cho bên khác,Phải trả cho bên khác,-,-,14.893.277.977,14.893.277.977,,,14893277977.0,14893277977.0
Phải trả cho các bên liên quan (Thuyết minh số 29),Dải hạn > Phải trả cho các bên liên quan (Thuyết minh số 29),Phải trả cho các bên liên quan (Thuyết minh số 29),-,-,22.792.936.812,22.792.936.812,,,22792936812.0,22792936812.0
TỔNG CỘNG,Dải hạn > TỔNG CỘNG,TỔNG CỘNG,-,-,37.686.214.789,37.686.214.789,,,37686214789.0,37686214789.0
