row_label_raw,row_label_full,Tên,Chức vụ,Đơn vị tính: VND > Năm nay,Đơn vị tính: VND > Năm trước,numeric__Chức vụ,numeric__Đơn vị tính: VND > Năm nay,numeric__Đơn vị tính: VND > Năm trước
Ông Phạm Ánh Dương,Ông Phạm Ánh Dương,Ông Phạm Ánh Dương,Chủ tịch,180.000.000,180.000.000,,180000000.0,180000000.0
Ông Nguyễn Lê Trung,Ông Nguyễn Lê Trung,Ông Nguyễn Lê Trung,Phó Chủ tịch HĐQT (từ ngày 30 tháng 6 năm 2021)/Tổng Giám đốc,713.023.423,704.460.038,,713023423.0,704460038.0
Ông Nguyễn Lê Thăng Long,Ông Nguyễn Lê Thăng Long,Ông Nguyễn Lê Thăng Long,Phó Chủ tịch HĐQT (từ ngày 30 tháng 6 năm 2021),60.000.000,-,,60000000.0,
Ông Phạm Hoàng Việt,Ông Phạm Hoàng Việt,Ông Phạm Hoàng Việt,Thành viên HĐQT (miễn nhiệm ngày 29 tháng 6 năm 2021),60.000.000,120.000.000,,60000000.0,120000000.0
Bà Hòa Thị Thu Hà,Bà Hòa Thị Thu Hà,Bà Hòa Thị Thu Hà,Thành viên HĐQT/Phó Tổng Giám đốc,529.698.961,514.547.076,,529698961.0,514547076.0
Bà Nguyễn Thị Tiên,Bà Nguyễn Thị Tiên,Bà Nguyễn Thị Tiên,Thành viên HĐQT (từ ngày 5 tháng 2 năm 2021)/Phó Tổng Giám đốc,110.000.000,-,,110000000.0,
Bà Trần Thị Thoàn,Bà Trần Thị Thoàn,Bà Trần Thị Thoàn,Thành viên HĐQT (từ ngày 5 tháng 2 năm 2021)/Phó Tổng Giám đốc,580.678.317,589.073.038,,580678317.0,589073038.0
Ông Đình Xuân Cường,Ông Đình Xuân Cường,Ông Đình Xuân Cường,Thành viên HĐQT,120.000.000,-,,120000000.0,
Bà Lâm Thị Hiền,Bà Lâm Thị Hiền,Bà Lâm Thị Hiền,Phó Tổng Giám đốc,417.174.539,175.480.654,,417174539.0,175480654.0
Ông Ngô Văn Thụ,Ông Ngô Văn Thụ,Ông Ngô Văn Thụ,Phó Tổng Giám đốc,428.524.786,410.839.981,,428524786.0,410839981.0
Bà Đặng Thị Quỳnh Phương,Bà Đặng Thị Quỳnh Phương,Bà Đặng Thị Quỳnh Phương,Phó Tổng Giám đốc (miễn nhiệm ngày 18 tháng 8 năm 2020),-,308.477.385,,,308477385.0
Bà Nguyễn Thị Giang,Bà Nguyễn Thị Giang,Bà Nguyễn Thị Giang,Trưởng Ban Kiểm soát,120.000.000,120.000.000,,120000000.0,120000000.0
Bà Văn Thị Lan Anh,Bà Văn Thị Lan Anh,Bà Văn Thị Lan Anh,Thành viên Ban Kiểm soát,72.000.000,72.000.000,,72000000.0,72000000.0
Bà Nguyễn Thị Phương,Bà Nguyễn Thị Phương,Bà Nguyễn Thị Phương,Thành viên Ban Kiểm soát,72.000.000,72.000.000,,72000000.0,72000000.0
