row_label_raw,row_label_full,col_0,Vốn đầu tư của chủ sở hữu,Thặng dư vốn cổ phần,Quỹ đầu tư phát triển,Lợi nhuận chưa phân phối,Tổng cộng,numeric__Vốn đầu tư của chủ sở hữu,numeric__Thặng dư vốn cổ phần,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận chưa phân phối,numeric__Tổng cộng
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,8.925.119.650.000,9.928.286.444.796,123.011.473.161,752.767.525.575,19.729.185.093.532,8925119650000.0,9928286444796.0,123011473161.0,752767525575.0,19729185093532.0
Tăng vốn trong năm trước,Tăng vốn trong năm trước,Tăng vốn trong năm trước,-,-,-,-,-,,,,,
Lãi trong năm trước,Tăng vốn trong năm trước > Lãi trong năm trước,Lãi trong năm trước,-,-,-,97.101.442.583,97.101.442.583,,,,97101442583.0,97101442583.0
Phân phối các quỹ,Phân phối các quỹ,Phân phối các quỹ,-,-,-,-,-,,,,,
Giảm khác,Phân phối các quỹ > Giảm khác,Giảm khác,-,(153.000.000),-,(9.600.000),(162.600.000),,-153000000.0,,-9600000.0,-162600000.0
Số dư cuối năm trước/đầu năm nay,Phân phối các quỹ > Số dư cuối năm trước/đầu năm nay,Số dư cuối năm trước/đầu năm nay,8.925.119.650.000,9.928.133.444.796,123.011.473.161,849.859.368.158,19.826.123.936.115,8925119650000.0,9928133444796.0,123011473161.0,849859368158.0,19826123936115.0
Tăng vốn trong năm nay (*),Phân phối các quỹ > Tăng vốn trong năm nay (*),Tăng vốn trong năm nay (*),1.757.736.160.000,-,-,-,1.757.736.160.000,1757736160000.0,,,,1757736160000.0
Lãi trong năm nay,Phân phối các quỹ > Lãi trong năm nay,Lãi trong năm nay,-,-,-,107.788.934.288,107.788.934.288,,,,107788934288.0,107788934288.0
Phân phối các quỹ,Phân phối các quỹ,Phân phối các quỹ,-,-,-,-,-,,,,,
Giảm khác,Phân phối các quỹ > Giảm khác,Giảm khác,-,(312.900.000),-,-,(312.900.000),,-312900000.0,,,-312900000.0
Số dư cuối năm nay,Phân phối các quỹ > Số dư cuối năm nay,Số dư cuối năm nay,10.682.855.810.000,9.927.820.544.796,123.011.473.161,957.648.302.446,21.691.336.130.403,10682855810000.0,9927820544796.0,123011473161.0,957648302446.0,21691336130403.0
