row_label_raw,row_label_full,col_0,Giá trị,Dự phòng,Giá trị_1,Dự phòng_1,numeric__Giá trị,numeric__Dự phòng,numeric__Giá trị_1,numeric__Dự phòng_1
Phải thu khác từ bên thứ ba,Phải thu khác từ bên thứ ba,Phải thu khác từ bên thứ ba,1.530.037.225.056,-,885.667.432.330,(4.621.632.979),1530037225056.0,,885667432330.0,-4621632979.0
Tạm ứng,Tạm ứng,Tạm ứng,499.661.491,-,4.860.626.713,(3.773.997.047),499661491.0,,4860626713.0,-3773997047.0
"Ký cược, ký quỹ (*)","Ký cược, ký quỹ (*)","Ký cược, ký quỹ (*)",9.900.000.000,-,-,-,9900000000.0,,,
"Phải thu về cổ tức, lợi nhuận được chia","Phải thu về cổ tức, lợi nhuận được chia","Phải thu về cổ tức, lợi nhuận được chia",1.055.226.971,-,1.055.226.971,-,1055226971.0,,1055226971.0,
Phải thu giá trị hoàn trả suất đầu tư,Phải thu giá trị hoàn trả suất đầu tư,Phải thu giá trị hoàn trả suất đầu tư,123.315.692.170,-,123.315.692.170,-,123315692170.0,,123315692170.0,
Phải thu từ hợp tác đầu tư Bất động sản,Phải thu từ hợp tác đầu tư Bất động sản,Phải thu từ hợp tác đầu tư Bất động sản,546.000.000.000,-,210.000.000.000,-,546000000000.0,,210000000000.0,
Phải thu gốc hợp đồng hợp tác đầu tư,Phải thu gốc hợp đồng hợp tác đầu tư,Phải thu gốc hợp đồng hợp tác đầu tư,764.500.000.000,-,518.050.000.000,-,764500000000.0,,518050000000.0,
Phải thu khác,Phải thu khác,Phải thu khác,84.766.644.424,-,28.385.886.476,(847.635.932),84766644424.0,,28385886476.0,-847635932.0
Phải thu khác từ bên liên quan,Phải thu khác từ bên liên quan,Phải thu khác từ bên liên quan,623.587.164.341,-,537.018.311.049,-,623587164341.0,,537018311049.0,
"Phải thu về cổ tức, lợi nhuận được chia","Phải thu về cổ tức, lợi nhuận được chia","Phải thu về cổ tức, lợi nhuận được chia",572.502.132.842,-,344.726.201.099,-,572502132842.0,,344726201099.0,
Phải thu khác,Phải thu khác,Phải thu khác,51.085.031.499,-,192.292.109.950,-,51085031499.0,,192292109950.0,
