row_label_raw,row_label_full,CHỈ TIÊU,CHỈ TIÊU_1,Mã số,Thuyết minh,Năm nay,Năm trước,numeric__CHỈ TIÊU_1,numeric__Mã số,numeric__Thuyết minh,numeric__Năm nay,numeric__Năm trước
III. Lưu chuyển tiền từ hoạt động tài chính,III. Lưu chuyển tiền từ hoạt động tài chính,III. Lưu chuyển tiền từ hoạt động tài chính,III. Lưu chuyển tiền từ hoạt động tài chính,III. Lưu chuyển tiền từ hoạt động tài chính,III. Lưu chuyển tiền từ hoạt động tài chính,III. Lưu chuyển tiền từ hoạt động tài chính,III. Lưu chuyển tiền từ hoạt động tài chính,,,,,
1.,III. Lưu chuyển tiền từ hoạt động tài chính > 1.,1.,"Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",31,,1.757.736.160.000,-,,31.0,,1757736160000.0,
2.,III. Lưu chuyển tiền từ hoạt động tài chính > 2.,2.,Tiền thu từ đi vay,33,VII.1,2.140.030.000.000,636.700.000.000,,33.0,,2140030000000.0,636700000000.0
3.,III. Lưu chuyển tiền từ hoạt động tài chính > 3.,3.,Tiền trả nợ gốc vay,34,VII.2,(470.520.000.000),(61.440.000.000),,34.0,,-470520000000.0,-61440000000.0
4.,III. Lưu chuyển tiền từ hoạt động tài chính > 4.,4.,"Cổ tức, lợi nhuận đã trả cho chủ sở hữu",36,,-,(854.000),,36.0,,,-854000.0
,,,Lưu chuyển tiền thuần từ hoạt động tài chính,40,,3.427.246.160.000,575.259.146.000,,40.0,,3427246160000.0,575259146000.0
,,,Lưu chuyển tiền thuần trong năm,50,,(57.287.300.446),31.719.890.002,,50.0,,-57287300446.0,31719890002.0
,,,Tiền và tương đương tiền đầu năm,60,V.1,81.362.865.591,49.642.975.589,,60.0,,81362865591.0,49642975589.0
,,,Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,61,,-,-,,61.0,,,
,,,Tiền và tương đương tiền cuối năm,70,V.1,24.075.565.145,81.362.865.591,,70.0,,24075565145.0,81362865591.0
