row_label_raw,row_label_full,"11. Tăng, giảm tài sản cố định hữu hình","11. Tăng, giảm tài sản cố định hữu hình_1","11. Tăng, giảm tài sản cố định hữu hình_2","11. Tăng, giảm tài sản cố định hữu hình_3","11. Tăng, giảm tài sản cố định hữu hình_4","11. Tăng, giảm tài sản cố định hữu hình_5","11. Tăng, giảm tài sản cố định hữu hình_6","numeric__11. Tăng, giảm tài sản cố định hữu hình_1","numeric__11. Tăng, giảm tài sản cố định hữu hình_2","numeric__11. Tăng, giảm tài sản cố định hữu hình_3","numeric__11. Tăng, giảm tài sản cố định hữu hình_4","numeric__11. Tăng, giảm tài sản cố định hữu hình_5","numeric__11. Tăng, giảm tài sản cố định hữu hình_6"
,,,"Nhà cửa,vật kiến trúc","Máy móc,thiết bị",Phương tiệnvận tải truyền dẫn,"Thiết bị,dụng cụ quản lý",TSCĐhữu hình khác,Cộng,,,,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Số đầu năm,NGUYÊN GIÁ > Số đầu năm,Số đầu năm,1.856.368.150,13.212.489.992,9.205.452.936,3.791.924.176,182.555.635.744,210.621.870.998,1856368150.0,13212489992.0,9205452936.0,3791924176.0,182555635744.0,210621870998.0
Mua sắm mới,NGUYÊN GIÁ > Mua sắm mới,Mua sắm mới,-,68.000.000,6.154.090.000,119.740.741,133.100.000,6.474.930.741,,68000000.0,6154090000.0,119740741.0,133100000.0,6474930741.0
Đầu tư xây dựng cơ bản hoàn thành,NGUYÊN GIÁ > Đầu tư xây dựng cơ bản hoàn thành,Đầu tư xây dựng cơ bản hoàn thành,-,-,-,-,7.339.205.364,7.339.205.364,,,,,7339205364.0,7339205364.0
"Thanh lý, nhượng bán","NGUYÊN GIÁ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,(6.702.279.994),-,-,(6.702.279.994),,,-6702279994.0,,,-6702279994.0
Số cuối năm,NGUYÊN GIÁ > Số cuối năm,Số cuối năm,1.856.368.150,13.280.489.992,8.657.262.942,3.911.664.917,190.027.941.108,217.733.727.109,1856368150.0,13280489992.0,8657262942.0,3911664917.0,190027941108.0,217733727109.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,,,
Số đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số đầu năm,Số đầu năm,1.856.368.150,3.460.075.099,5.358.859.086,1.167.893.790,60.907.984.201,72.751.180.326,1856368150.0,3460075099.0,5358859086.0,1167893790.0,60907984201.0,72751180326.0
Khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,-,618.383.835,355.811.975,749.256.775,28.363.952.666,30.087.405.251,,618383835.0,355811975.0,749256775.0,28363952666.0,30087405251.0
"Thanh lý, nhượng bán","GIÁ TRỊ HAO MÒN LỦY KẾ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,(5.043.354.090),-,-,(5.043.354.090),,,-5043354090.0,,,-5043354090.0
Số cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số cuối năm,Số cuối năm,1.856.368.150,4.078.458.934,671.316.971,1.917.150.565,89.271.936.867,97.795.231.487,1856368150.0,4078458934.0,671316971.0,1917150565.0,89271936867.0,97795231487.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,,
Số đầu năm,GIÁ TRỊ CÒN LẠI > Số đầu năm,Số đầu năm,-,9.752.414.893,3.846.593.850,2.624.030.386,121.647.651.543,137.870.690.672,,9752414893.0,3846593850.0,2624030386.0,121647651543.0,137870690672.0
Số cuối năm,GIÁ TRỊ CÒN LẠI > Số cuối năm,Số cuối năm,-,9.202.031.058,7.985.945.971,1.994.514.352,100.756.004.241,119.938.495.622,,9202031058.0,7985945971.0,1994514352.0,100756004241.0,119938495622.0
