row_label_raw,row_label_full,16.2 Chi phí phải trả dài hạn,Số cuối năm,Số đầu năm,numeric__Số cuối năm,numeric__Số đầu năm
Lãi trái phiếu,Lãi trái phiếu,Lãi trái phiếu,53.650.684.934,-,53650684934.0,
Cộng,Cộng,Cộng,53.650.684.934,-,53650684934.0,
