row_label_raw,row_label_full,col_0,Số cuối năm > Giá trị,Số cuối năm > Số có khả năng trả nợ,Số đầu năm > Giá trị,Số đầu năm > Số có khả năng trả nợ,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Số có khả năng trả nợ,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > Số có khả năng trả nợ
Phải trả người bán là bên thứ ba,Phải trả người bán là bên thứ ba,Phải trả người bán là bên thứ ba,173.975.878.269,173.975.878.269,181.538.275.253,181.538.275.253,173975878269.0,173975878269.0,181538275253.0,181538275253.0
Phải trả hoạt động kinh doanh BĐS,Phải trả hoạt động kinh doanh BĐS,Phải trả hoạt động kinh doanh BĐS,71.711.692.230,71.711.692.230,58.010.902.266,58.010.902.266,71711692230.0,71711692230.0,58010902266.0,58010902266.0
Công ty cổ phần Vận hành và Bảo trì đường cao tốc Việt Nam,Công ty cổ phần Vận hành và Bảo trì đường cao tốc Việt Nam,Công ty cổ phần Vận hành và Bảo trì đường cao tốc Việt Nam,21.993.862.056,21.993.862.056,5.673.387.544,5.673.387.544,21993862056.0,21993862056.0,5673387544.0,5673387544.0
Các đối tượng khác,Các đối tượng khác,Các đối tượng khác,49.717.830.174,49.717.830.174,52.337.514.722,52.337.514.722,49717830174.0,49717830174.0,52337514722.0,52337514722.0
Phải trả hoạt động xây lắp,Phải trả hoạt động xây lắp,Phải trả hoạt động xây lắp,90.903.837.583,90.903.837.583,111.734.575.526,111.734.575.526,90903837583.0,90903837583.0,111734575526.0,111734575526.0
Công ty cổ phần Đầu tư công nghiệp Việt Hưng,Công ty cổ phần Đầu tư công nghiệp Việt Hưng,Công ty cổ phần Đầu tư công nghiệp Việt Hưng,33.726.462.190,33.726.462.190,49.953.877.008,49.953.877.008,33726462190.0,33726462190.0,49953877008.0,49953877008.0
Công ty TNHH Xây dựng và Thương mại Hồng Hân,Công ty TNHH Xây dựng và Thương mại Hồng Hân,Công ty TNHH Xây dựng và Thương mại Hồng Hân,22.468.646.046,22.468.646.046,22.545.144.536,22.545.144.536,22468646046.0,22468646046.0,22545144536.0,22545144536.0
Các đối tượng khác,Các đối tượng khác,Các đối tượng khác,34.708.729.347,34.708.729.347,39.235.553.982,39.235.553.982,34708729347.0,34708729347.0,39235553982.0,39235553982.0
Phải trả hoạt động khác,Phải trả hoạt động khác,Phải trả hoạt động khác,11.360.348.456,11.360.348.456,11.792.797.461,11.792.797.461,11360348456.0,11360348456.0,11792797461.0,11792797461.0
Phải trả người bán là bên liên quan,Phải trả người bán là bên liên quan,Phải trả người bán là bên liên quan,9.652.220.862,9.652.220.862,3.526.772.592,3.526.772.592,9652220862.0,9652220862.0,3526772592.0,3526772592.0
Phải trả hoạt động kinh doanh BĐS,Phải trả hoạt động kinh doanh BĐS,Phải trả hoạt động kinh doanh BĐS,5.406.962.113,5.406.962.113,-,-,5406962113.0,5406962113.0,,
Phải trả hoạt động khác,Phải trả hoạt động khác,Phải trả hoạt động khác,4.245.258.749,4.245.258.749,3.526.772.592,3.526.772.592,4245258749.0,4245258749.0,3526772592.0,3526772592.0
(Chi tiết phải trả người bán là bên liên quan được thuyết minh tại thuyết minh số VIII.2),(Chi tiết phải trả người bán là bên liên quan được thuyết minh tại thuyết minh số VIII.2),(Chi tiết phải trả người bán là bên liên quan được thuyết minh tại thuyết minh số VIII.2),(Chi tiết phải trả người bán là bên liên quan được thuyết minh tại thuyết minh số VIII.2),(Chi tiết phải trả người bán là bên liên quan được thuyết minh tại thuyết minh số VIII.2),(Chi tiết phải trả người bán là bên liên quan được thuyết minh tại thuyết minh số VIII.2),(Chi tiết phải trả người bán là bên liên quan được thuyết minh tại thuyết minh số VIII.2),,,,
Cộng,(Chi tiết phải trả người bán là bên liên quan được thuyết minh tại thuyết minh số VIII.2) > Cộng,Cộng,183.628.099.131,183.628.099.131,185.065.047.845,185.065.047.845,183628099131.0,183628099131.0,185065047845.0,185065047845.0
