row_label_raw,row_label_full,Nội dung,Số nợ (VND),Nguyên nhân xóa nợ,numeric__Số nợ (VND),numeric__Nguyên nhân xóa nợ
Công ty cổ phần TIC,Công ty cổ phần TIC,Công ty cổ phần TIC,30.853.699.510,Nợ không có khả năng thu hồi.,30853699510.0,
Các đối tượng khác,Các đối tượng khác,Các đối tượng khác,14.953.507.306,Nợ không có khả năng thu hồi.,14953507306.0,
Tổng,Tổng,Tổng,45.807.206.816,,45807206816.0,
