row_label_raw,row_label_full,col_0,31/12/2024 and 1/1/2024,31/12/2024 and 1/1/2024_1,numeric__31/12/2024 and 1/1/2024,numeric__31/12/2024 and 1/1/2024_1
,,,Number of shares,VND,,
Authorised and issued share capital,Authorised and issued share capital,Authorised and issued share capital,Authorised and issued share capital,Authorised and issued share capital,,
Ordinary shares,Ordinary shares,Ordinary shares,"1,282,562,372","12,825,623,720,000",,
Shares in circulation,Shares in circulation,Shares in circulation,Shares in circulation,Shares in circulation,,
Ordinary shares,Ordinary shares,Ordinary shares,"1,282,562,372","12,825,623,720,000",,
