row_label_raw,row_label_full,col_0,Land use rights awaiting transfer (*) VND,Returnable packaging VND,Tools and instruments VND,Total VND,numeric__Land use rights awaiting transfer (*) VND,numeric__Returnable packaging VND,numeric__Tools and instruments VND,numeric__Total VND
Opening balance,Opening balance,Opening balance,"51,602,316,000","1,591,481,813","12,496,103,943","65,689,901,756",,,,
Additions,Additions,Additions,-,-,"125,350,000","125,350,000",,,,
Transfer from construction in progress,Transfer from construction in progress,Transfer from construction in progress,-,-,"8,612,106,366","8,612,106,366",,,,
Amortisation for the year,Amortisation for the year,Amortisation for the year,-,"(995,432,845)","(8,199,025,309)","(9,194,458,154)",,,,
Closing balance,Closing balance,Closing balance,"51,602,316,000","596,048,968","13,034,535,000","65,232,899,968",,,,
