row_label_raw,row_label_full,col_0,Tax rate,31/12/2024 VND,1/1/2024 VND,numeric__Tax rate,numeric__31/12/2024 VND,numeric__1/1/2024 VND
Deferred tax assets recognised on:,Deferred tax assets recognised on:,Deferred tax assets recognised on:,Deferred tax assets recognised on:,Deferred tax assets recognised on:,Deferred tax assets recognised on:,,,
Accrued expenses and provisions,Deferred tax assets recognised on: > Accrued expenses and provisions,Accrued expenses and provisions,20%,"62,870,008,756","68,504,514,000",0.2,,
Allowance for diminution in the value of long-term financial investments,Deferred tax assets recognised on: > Allowance for diminution in the value of long-term financial investments,Allowance for diminution in the value of long-term financial investments,20%,"58,109,976,229","57,185,188,625",0.2,,
"Allowance for inventories and long-term tools, supplies and spare parts","Deferred tax assets recognised on: > Allowance for inventories and long-term tools, supplies and spare parts","Allowance for inventories and long-term tools, supplies and spare parts",20%,"9,415,960,137","11,174,707,725",0.2,,
Allowance for doubtful debts,Deferred tax assets recognised on: > Allowance for doubtful debts,Allowance for doubtful debts,20%,"2,131,385,896",-,0.2,,
,,,,"132,527,331,018","136,864,410,350",,,
