row_label_raw,row_label_full,col_0,Land use rights VND,Buildings and structures VND,Total VND,numeric__Land use rights VND,numeric__Buildings and structures VND,numeric__Total VND
Cost,Cost,Cost,Cost,Cost,Cost,,,
Opening and closing balances,Opening and closing balances,Opening and closing balances,"22,749,382,633","89,615,217,828","112,364,600,461",,,
Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,,,
Opening balance,Opening balance,Opening balance,"9,741,053,414","54,542,749,109","64,283,802,523",,,
Charge for the year,Charge for the year,Charge for the year,"527,364,684","7,883,786,364","8,411,151,048",,,
Closing balance,Closing balance,Closing balance,"10,268,418,098","62,426,535,473","72,694,953,571",,,
Net book value,Net book value,Net book value,Net book value,Net book value,Net book value,,,
Opening balance,Opening balance,Opening balance,"13,008,329,219","35,072,468,719","48,080,797,938",,,
Closing balance,Closing balance,Closing balance,"12,480,964,535","27,188,682,355","39,669,646,890",,,
