row_label_raw,row_label_full,col_0,Transaction value,Transaction value_1,numeric__Transaction value,numeric__Transaction value_1
,,,2024VND,2023VND,,
Saigon Beer Nam Trung Bo Trading Joint Stock Company,Saigon Beer Nam Trung Bo Trading Joint Stock Company,Saigon Beer Nam Trung Bo Trading Joint Stock Company,Saigon Beer Nam Trung Bo Trading Joint Stock Company,Saigon Beer Nam Trung Bo Trading Joint Stock Company,,
Other sales,Other sales,Other sales,"2,466,959,656","635,930,000",,
Purchases of merchandise goods,Purchases of merchandise goods,Purchases of merchandise goods,"16,818,600","12,678,640",,
Support for selling expenses,Support for selling expenses,Support for selling expenses,"149,377,617,743","175,263,752,257",,
Promotion goods expenses,Promotion goods expenses,Promotion goods expenses,"10,790,057,698","10,288,761,594",,
Dividends income,Dividends income,Dividends income,"76,484,040,102","134,304,252,099",,
Other transactions,Other transactions,Other transactions,"2,746,932,232","4,769,158,818",,
"Sa Be Co Mechanical Co., Ltd","Sa Be Co Mechanical Co., Ltd","Sa Be Co Mechanical Co., Ltd","Sa Be Co Mechanical Co., Ltd","Sa Be Co Mechanical Co., Ltd",,
Other sales,Other sales,Other sales,"269,387,927","138,085,982",,
Purchases of maintenance expenses,Purchases of maintenance expenses,Purchases of maintenance expenses,"38,294,863,787","38,020,187,877",,
Purchases of tools and supplies,Purchases of tools and supplies,Purchases of tools and supplies,"12,478,087,296","22,578,280,585",,
Profits distribution,Profits distribution,Profits distribution,"7,463,114,830","3,456,071,673",,
Other transactions,Other transactions,Other transactions,"2,853,978,526",-,,
Sai Gon Beer Packaging Joint Stock Company,Sai Gon Beer Packaging Joint Stock Company,Sai Gon Beer Packaging Joint Stock Company,Sai Gon Beer Packaging Joint Stock Company,Sai Gon Beer Packaging Joint Stock Company,,
Other sales,Other sales,Other sales,"151,107,000",-,,
Purchases of packaging materials,Purchases of packaging materials,Purchases of packaging materials,"217,393,816,250","206,914,460,220",,
Other transactions,Other transactions,Other transactions,"155,141,088",-,,
Binh Tay Liquor Joint Stock Company,Binh Tay Liquor Joint Stock Company,Binh Tay Liquor Joint Stock Company,Binh Tay Liquor Joint Stock Company,Binh Tay Liquor Joint Stock Company,,
Purchases of merchandise goods,Purchases of merchandise goods,Purchases of merchandise goods,"517,120,000","677,598,000",,
Dividends income,Dividends income,Dividends income,"6,422,834,000","6,422,834,000",,
Saigon Beer Company Limited,Saigon Beer Company Limited,Saigon Beer Company Limited,Saigon Beer Company Limited,Saigon Beer Company Limited,,
Capital contribution,Capital contribution,Capital contribution,-,"50,000,000",,
Associates and jointly controlled entities,Associates and jointly controlled entities,Associates and jointly controlled entities,Associates and jointly controlled entities,Associates and jointly controlled entities,,
Saigon Binh Tay Beer Group Joint Stock Company,Saigon Binh Tay Beer Group Joint Stock Company,Saigon Binh Tay Beer Group Joint Stock Company,Saigon Binh Tay Beer Group Joint Stock Company,Saigon Binh Tay Beer Group Joint Stock Company,,
Sales of raw materials,Sales of raw materials,Sales of raw materials,"701,743,097,473","662,170,097,085",,
Purchases of merchandise goods,Purchases of merchandise goods,Purchases of merchandise goods,"1,805,890,146,330","1,756,634,387,300",,
Purchases of raw materials,Purchases of raw materials,Purchases of raw materials,-,"37,518,000",,
Dividends income,Dividends income,Dividends income,"14,372,300,000","7,186,150,000",,
Other transactions,Other transactions,Other transactions,"352,390,773","307,722,507",,
Sai Gon - Mien Trung Beer Joint Stock Company,Sai Gon - Mien Trung Beer Joint Stock Company,Sai Gon - Mien Trung Beer Joint Stock Company,Sai Gon - Mien Trung Beer Joint Stock Company,Sai Gon - Mien Trung Beer Joint Stock Company,,
Sales of raw materials,Sales of raw materials,Sales of raw materials,"400,054,343,224","344,316,337,598",,
Purchases of merchandise goods,Purchases of merchandise goods,Purchases of merchandise goods,"1,026,111,425,170","1,072,976,287,260",,
Purchases of raw materials,Purchases of raw materials,Purchases of raw materials,"23,276,603,655","867,825,179",,
Dividends income,Dividends income,Dividends income,"48,086,815,000","43,278,133,500",,
Other transactions,Other transactions,Other transactions,"200,618,091","180,821,536",,
