row_label_raw,row_label_full,col_0,Code,Note,31/12/2024 VND,1/1/2024 VND,numeric__Code,numeric__Note,numeric__31/12/2024 VND,numeric__1/1/2024 VND
ASSETS,ASSETS,ASSETS,ASSETS,ASSETS,ASSETS,ASSETS,,,,
Current assets(100 = 110 + 120 + 130 + 140 + 150),ASSETS > Current assets(100 = 110 + 120 + 130 + 140 + 150),Current assets(100 = 110 + 120 + 130 + 140 + 150),100,,"22,678,040,434,933","24,115,296,003,502",100.0,,,
Cash and cash equivalents,ASSETS > Cash and cash equivalents,Cash and cash equivalents,110,5,"2,868,932,106,996","3,197,402,607,546",110.0,5.0,,
Cash,ASSETS > Cash,Cash,111,,"151,932,106,996","329,804,607,546",111.0,,,
Cash equivalents,ASSETS > Cash equivalents,Cash equivalents,112,,"2,717,000,000,000","2,867,598,000,000",112.0,,,
Short-term financial investments,ASSETS > Short-term financial investments,Short-term financial investments,120,,"15,616,317,000,000","16,730,000,000,000",120.0,,,
Held-to-maturity investments– short-term,ASSETS > Held-to-maturity investments– short-term,Held-to-maturity investments– short-term,123,6(a),"15,616,317,000,000","16,730,000,000,000",123.0,,,
Accounts receivable – short-term,ASSETS > Accounts receivable – short-term,Accounts receivable – short-term,130,,"3,474,506,046,993","3,011,383,696,374",130.0,,,
Accounts receivable from customers,ASSETS > Accounts receivable from customers,Accounts receivable from customers,131,7,"1,498,883,031,698","1,672,553,205,928",131.0,7.0,,
Prepayments to suppliers,ASSETS > Prepayments to suppliers,Prepayments to suppliers,132,,"25,991,313,183","21,200,293,397",132.0,,,
Loans receivable,ASSETS > Loans receivable,Loans receivable,135,8,"461,719,706,807","437,475,682,192",135.0,8.0,,
Other short-term receivables,ASSETS > Other short-term receivables,Other short-term receivables,136,9(a),"1,775,799,658,330","1,157,385,248,400",136.0,,,
Allowance for doubtful debts,ASSETS > Allowance for doubtful debts,Allowance for doubtful debts,137,10,"(287,887,663,025)","(277,230,733,543)",137.0,10.0,,
Inventories,ASSETS > Inventories,Inventories,140,11(a),"559,546,921,726","1,016,173,991,242",140.0,,,
Inventories,ASSETS > Inventories,Inventories,141,,"571,938,526,999","1,038,325,359,355",141.0,,,
Allowance for inventories,ASSETS > Allowance for inventories,Allowance for inventories,149,,"(12,391,605,273)","(22,151,368,113)",149.0,,,
Other current assets,ASSETS > Other current assets,Other current assets,150,,"158,738,359,218","160,335,708,340",150.0,,,
Short-term prepaid expenses,ASSETS > Short-term prepaid expenses,Short-term prepaid expenses,151,12(a),"118,092,418,969","125,826,272,256",151.0,,,
Deductible value added tax,ASSETS > Deductible value added tax,Deductible value added tax,152,,"36,234,033,199","22,319,076,524",152.0,,,
Taxes receivable from State Treasury,ASSETS > Taxes receivable from State Treasury,Taxes receivable from State Treasury,153,19(b),"4,411,907,050","12,190,359,560",153.0,,,
