row_label_raw,row_label_full,col_0,col_1,col_2,col_3,31/12/2024,31/12/2024_1,1/1/2024,1/1/2024_1,numeric__col_1,numeric__col_2,numeric__col_3,numeric__31/12/2024,numeric__31/12/2024_1,numeric__1/1/2024,numeric__1/1/2024_1
,,,,,,% quyền sở hữu,% quyền biểu quyết,% quyền sở hữu,% quyền biểu quyết,,,,,,,
STT,STT,STT,Tên công ty,Trụ sở chính,Hoạt động chính,,,,,,,,,,,
,,,Công ty con sở hữu gián tiếp thông qua Công ty Cổ phần Bia Sài Gòn - Miền Tây,Công ty con sở hữu gián tiếp thông qua Công ty Cổ phần Bia Sài Gòn - Miền Tây,Công ty con sở hữu gián tiếp thông qua Công ty Cổ phần Bia Sài Gòn - Miền Tây,Công ty con sở hữu gián tiếp thông qua Công ty Cổ phần Bia Sài Gòn - Miền Tây,Công ty con sở hữu gián tiếp thông qua Công ty Cổ phần Bia Sài Gòn - Miền Tây,Công ty con sở hữu gián tiếp thông qua Công ty Cổ phần Bia Sài Gòn - Miền Tây,Công ty con sở hữu gián tiếp thông qua Công ty Cổ phần Bia Sài Gòn - Miền Tây,,,,,,,
1,STT > 1,1,Công ty TNHH Một Thành viên Bia Sài Gòn - Sóc Trăng,"Lô S, Khu Công nghiệp An Nghiệp, Xã An Hiệp, Huyện Châu Thành, Tỉnh Sóc Trăng, Việt Nam","Sản xuất và kinh doanh bia, mạch nha ủ lên men, nước khoáng và nước tinh khiết đóng chai","84,46%",100%,"70,55%",100%,,,,0.8445999999999999,1.0,0.7055,1.0
,,,Các công ty liên kết,Các công ty liên kết,Các công ty liên kết,Các công ty liên kết,Các công ty liên kết,Các công ty liên kết,Các công ty liên kết,,,,,,,
1,STT > 1,1,Công ty Cổ phần Tư vấn và Chuyển giao Công nghệ Thành Nam,"50A, Bùi Thị Xuân, Phường Bến Thành, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",Tư vấn xây dựng và thiết kế,"28,57%","28,57%","28,57%","28,57%",,,,0.2857,0.2857,0.2857,0.2857
2,STT > 2,2,Công ty Cổ phần Cơ khí và Xây lắp Công nghiệp,"3E/5, Phổ Quang, Phường 2, Quận Tân Bình, Thành phố Hồ Chí Minh, Việt Nam","Sản xuất, lắp đặt các sản phẩm máy móc cầu đường và xây dựng công nghiệp","26,00%","26,00%","26,00%","26,00%",,,,0.26,0.26,0.26,0.26
3,STT > 3,3,Công ty Cổ phần Bia Sài Gòn - Bạc Liêu,"Lô B5, Khu Công nghiệp Trà Kha, Phường 8, Thành phố Bạc Liêu, Tỉnh Bạc Liêu, Việt Nam","Sản xuất và kinh doanh bia, rượu và nước giải khát","16,89%","20,00%","14,11%","20,00%",,,,0.1689,0.2,0.1411,0.2
4,STT > 4,4,Công ty Cổ phần Tập đoàn Bia Sài Gòn - Bình Tây,"Số 8, Nam Kỳ Khởi Nghĩa, Phường Nguyễn Thái Bình, Quận 1, Thành phố Hồ Chí Minh, Việt Nam","Sản xuất, gia công và kinh doanh thực phẩm, nước giải khát, bia và nước uống có cồn","21,80%","22,18%","21,80%","22,18%",,,,0.218,0.2218,0.218,0.2218
5,STT > 5,5,Công ty Cổ phần Bia - Nước Giải Khát Sài Gòn - Tây Đô,"Lô 22, Khu Công nghiệp Trà Nóc 1, Phường Trà Nóc, Quận Bình Thủy, Thành phố Cần Thơ, Việt Nam","Sản xuất và kinh doanh bia, rượu, nước giải khát, sữa đậu nành và nước ép trái cây","30,79%","34,92%","29,47%","34,92%",,,,0.3079,0.3492,0.29469999999999996,0.3492
