row_label_raw,row_label_full,col_0,Buildings and structures VND,Machinery and equipment VND,Motor vehicles VND,Office equipment VND,Total VND,numeric__Buildings and structures VND,numeric__Machinery and equipment VND,numeric__Motor vehicles VND,numeric__Office equipment VND,numeric__Total VND
Cost,Cost,Cost,Cost,Cost,Cost,Cost,Cost,,,,,
Opening balance,Opening balance,Opening balance,"527,774,586,582","2,918,292,957,837","54,949,941,105","126,006,563,124","3,627,024,048,648",,,,,
Additions,Additions,Additions,-,"4,483,580,000",-,"2,212,619,818","6,696,199,818",,,,,
Transfer from construction in progress,Transfer from construction in progress,Transfer from construction in progress,-,"29,671,213,518",-,"5,383,784,438","35,054,997,956",,,,,
Adjustments,Adjustments,Adjustments,-,-,-,"(94,200,000)","(94,200,000)",,,,,
Closing balance,Closing balance,Closing balance,"527,774,586,582","2,952,447,751,355","54,949,941,105","133,508,767,380","3,668,681,046,422",,,,,
Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,,,,,
Opening balance,Opening balance,Opening balance,"452,020,476,764","2,712,965,849,620","53,667,512,913","113,709,108,827","3,332,362,948,124",,,,,
Charge for the year,Charge for the year,Charge for the year,"8,480,856,344","69,040,209,013","350,136,948","7,116,944,146","84,988,146,451",,,,,
Adjustments,Adjustments,Adjustments,-,-,-,"(94,200,000)","(94,200,000)",,,,,
Closing balance,Closing balance,Closing balance,"460,501,333,108","2,782,006,058,633","54,017,649,861","120,731,852,973","3,417,256,894,575",,,,,
Net book value,Net book value,Net book value,Net book value,Net book value,Net book value,Net book value,Net book value,,,,,
Opening balance,Opening balance,Opening balance,"75,754,109,818","205,327,108,217","1,282,428,192","12,297,454,297","294,661,100,524",,,,,
Closing balance,Closing balance,Closing balance,"67,273,253,474","170,441,692,722","932,291,244","12,776,914,407","251,424,151,847",,,,,
