row_label_raw,row_label_full,col_0,Transaction value,Transaction value_1,numeric__Transaction value,numeric__Transaction value_1
,,,2024VND,2023VND,,
Sai Gon - Ha Tinh Beer One Member Company Limited,Sai Gon - Ha Tinh Beer One Member Company Limited,Sai Gon - Ha Tinh Beer One Member Company Limited,Sai Gon - Ha Tinh Beer One Member Company Limited,Sai Gon - Ha Tinh Beer One Member Company Limited,,
Sales of raw materials,Sales of raw materials,Sales of raw materials,"568,388,685,839","501,550,528,550",,
Other sales,Other sales,Other sales,"1,706,047,788","1,554,115,788",,
Purchases of merchandise goods,Purchases of merchandise goods,Purchases of merchandise goods,"1,444,787,032,150","1,295,512,709,450",,
Purchases of packaging materials,Purchases of packaging materials,Purchases of packaging materials,"1,058,844,072","549,738,000",,
Profits distribution,Profits distribution,Profits distribution,"42,377,685,907","47,205,613,480",,
Other transactions,Other transactions,Other transactions,"289,914,600","234,368,619",,
Sai Gon - Ha Noi Beer Corporation,Sai Gon - Ha Noi Beer Corporation,Sai Gon - Ha Noi Beer Corporation,Sai Gon - Ha Noi Beer Corporation,Sai Gon - Ha Noi Beer Corporation,,
Sales of raw materials,Sales of raw materials,Sales of raw materials,"456,925,017,090","404,370,437,471",,
Other sales,Other sales,Other sales,"153,084,000",-,,
Purchases of merchandise goods,Purchases of merchandise goods,Purchases of merchandise goods,"1,227,942,524,450","1,154,885,859,320",,
Purchases of raw materials,Purchases of raw materials,Purchases of raw materials,"438,245,389","45,910,050",,
Dividends income,Dividends income,Dividends income,"18,760,000,000","18,760,000,000",,
Other transactions,Other transactions,Other transactions,"32,428,760","101,359,520",,
"Sai Gon - Dong Xuan Beer, Alcohol Joint Stock Company","Sai Gon - Dong Xuan Beer, Alcohol Joint Stock Company","Sai Gon - Dong Xuan Beer, Alcohol Joint Stock Company","Sai Gon - Dong Xuan Beer, Alcohol Joint Stock Company","Sai Gon - Dong Xuan Beer, Alcohol Joint Stock Company",,
Sales of raw materials,Sales of raw materials,Sales of raw materials,"220,506,804,656","215,870,750,452",,
Other sales,Other sales,Other sales,"532,533,600","377,505,600",,
Purchases of merchandise goods,Purchases of merchandise goods,Purchases of merchandise goods,"581,812,191,400","517,911,465,700",,
Dividends income,Dividends income,Dividends income,"768,525,000","768,525,000",,
Other transactions,Other transactions,Other transactions,"40,170,000","50,650,000",,
Saigon - Nghetinh Beer Joint Stock Company,Saigon - Nghetinh Beer Joint Stock Company,Saigon - Nghetinh Beer Joint Stock Company,Saigon - Nghetinh Beer Joint Stock Company,Saigon - Nghetinh Beer Joint Stock Company,,
Sales of raw materials,Sales of raw materials,Sales of raw materials,"162,263,664,213","124,822,104,015",,
Other sales,Other sales,Other sales,"154,632,000",-,,
Purchases of merchandise goods,Purchases of merchandise goods,Purchases of merchandise goods,"480,363,284,880","385,953,741,940",,
Purchases of raw materials,Purchases of raw materials,Purchases of raw materials,"1,296,822,154","339,145,091",,
Dividends income,Dividends income,Dividends income,"2,873,500,000","2,873,500,000",,
Other transactions,Other transactions,Other transactions,"50,019,234","25,322,442",,
Western - Sai Gon Beer Joint Stock Company,Western - Sai Gon Beer Joint Stock Company,Western - Sai Gon Beer Joint Stock Company,Western - Sai Gon Beer Joint Stock Company,Western - Sai Gon Beer Joint Stock Company,,
Sales of raw materials,Sales of raw materials,Sales of raw materials,"79,708,772,925","82,942,617,791",,
Other sales,Other sales,Other sales,"154,560,000",-,,
Purchases of merchandise goods,Purchases of merchandise goods,Purchases of merchandise goods,"352,264,383,040","365,903,882,170",,
Dividends income,Dividends income,Dividends income,"55,182,350,000","20,459,500,000",,
Purchases shares from other shareholders,Purchases shares from other shareholders,Purchases shares from other shareholders,"116,974,400,000","164,415,500,000",,
Chuong Duong Beverages Joint Stock Company,Chuong Duong Beverages Joint Stock Company,Chuong Duong Beverages Joint Stock Company,Chuong Duong Beverages Joint Stock Company,Chuong Duong Beverages Joint Stock Company,,
Sales of raw materials,Sales of raw materials,Sales of raw materials,"167,946,000","71,127,000",,
Other sales,Other sales,Other sales,"20,000,000",-,,
Purchases of merchandise goods,Purchases of merchandise goods,Purchases of merchandise goods,"1,332,586,946","828,259,221",,
Purchases of services,Purchases of services,Purchases of services,"10,091,043,011","2,202,774,193",,
Loans granted,Loans granted,Loans granted,"24,244,024,615","387,475,682,192",,
Interest income,Interest income,Interest income,"24,362,739,305","14,794,535,680",,
