row_label_raw,row_label_full,Tổng Giám đốc
Phó Tổng Giám đốc,Phó Tổng Giám đốc,Phó Tổng Giám đốc
Phó Tổng Giám đốc,Phó Tổng Giám đốc,Phó Tổng Giám đốc
Phó Tổng Giám đốc,Phó Tổng Giám đốc,Phó Tổng Giám đốc
(từ ngày 27 tháng 6 năm 2024),(từ ngày 27 tháng 6 năm 2024),(từ ngày 27 tháng 6 năm 2024)
Phó Tổng Giám đốc,Phó Tổng Giám đốc,Phó Tổng Giám đốc
(từ ngày 27 tháng 6 năm 2024),(từ ngày 27 tháng 6 năm 2024),(từ ngày 27 tháng 6 năm 2024)
Phó Tổng Giám đốc,Phó Tổng Giám đốc,Phó Tổng Giám đốc
Giám đốc Nhà máy Bia Sài Gòn,Giám đốc Nhà máy Bia Sài Gòn,Giám đốc Nhà máy Bia Sài Gòn
- Nguyễn Chí Thanh,- Nguyễn Chí Thanh,- Nguyễn Chí Thanh
Phó Tổng Giám đốc,Phó Tổng Giám đốc,Phó Tổng Giám đốc
(đến ngày 31 tháng 3 năm 2024),(đến ngày 31 tháng 3 năm 2024),(đến ngày 31 tháng 3 năm 2024)
