row_label_raw,row_label_full,col_0,Code,Note,2024 VND,2023 VND,numeric__Code,numeric__Note,numeric__2024 VND,numeric__2023 VND
Revenue from sales of goods and provision of services,Revenue from sales of goods and provision of services,Revenue from sales of goods and provision of services,01,29,"40,307,905,935,578","37,739,184,263,128",1.0,29.0,,
Cost of sales,Cost of sales,Cost of sales,11,30,"34,448,691,239,392","32,127,500,715,007",11.0,30.0,,
Gross profit (20 = 01 - 11),Gross profit (20 = 01 - 11),Gross profit (20 = 01 - 11),20,,"5,859,214,696,186","5,611,683,548,121",20.0,,,
Financial income,Financial income,Financial income,21,31,"3,081,432,206,162","3,560,612,649,786",21.0,31.0,,
Financial expenses,Financial expenses,Financial expenses,22,32,"23,706,239,245","69,112,595,833",22.0,32.0,,
Selling expenses,Selling expenses,Selling expenses,25,33,"3,625,457,289,949","3,833,568,260,824",25.0,33.0,,
General and administration expenses,General and administration expenses,General and administration expenses,26,34,"457,428,263,811","411,535,811,152",26.0,34.0,,
Net operating profit{30 = 20 + (21 - 22) - (25 + 26)},Net operating profit{30 = 20 + (21 - 22) - (25 + 26)},Net operating profit{30 = 20 + (21 - 22) - (25 + 26)},30,,"4,834,055,109,343","4,858,079,530,098",30.0,,,
Other income,Other income,Other income,31,,"7,562,443,565","4,669,151,935",31.0,,,
Other expenses,Other expenses,Other expenses,32,,"6,251,562,690","16,870,685,102",32.0,,,
Results of other activities (40 = 31 - 32),Results of other activities (40 = 31 - 32),Results of other activities (40 = 31 - 32),40,,"1,310,880,875","(12,201,533,167)",40.0,,,
Accounting profit before tax(50 = 30 + 40),Accounting profit before tax(50 = 30 + 40),Accounting profit before tax(50 = 30 + 40),50,,"4,835,365,990,218","4,845,877,996,931",50.0,,,
Income tax expense – current,Income tax expense – current,Income tax expense – current,51,36,"578,298,848,337","548,226,704,070",51.0,36.0,,
Income tax expense – deferred,Income tax expense – deferred,Income tax expense – deferred,52,36,"4,337,079,332","10,040,694,460",52.0,36.0,,
Net profit after tax (60 = 50 - 51 - 52),Net profit after tax (60 = 50 - 51 - 52),Net profit after tax (60 = 50 - 51 - 52),60,,"4,252,730,062,549","4,287,610,598,401",60.0,,,
