row_label_raw,row_label_full,col_0,Quyền sử dụng đất chờ bàn giao (*) VND,Bao bì luân chuyển VND,Công cụ và dụng cụ VND,Tổng VND,numeric__Quyền sử dụng đất chờ bàn giao (*) VND,numeric__Bao bì luân chuyển VND,numeric__Công cụ và dụng cụ VND,numeric__Tổng VND
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,51.602.316.000,1.591.481.813,12.496.103.943,65.689.901.756,51602316000.0,1591481813.0,12496103943.0,65689901756.0
Tăng trong năm,Tăng trong năm,Tăng trong năm,-,-,125.350.000,125.350.000,,,125350000.0,125350000.0
Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,-,-,8.612.106.366,8.612.106.366,,,8612106366.0,8612106366.0
Phân bổ trong năm,Phân bổ trong năm,Phân bổ trong năm,-,(995.432.845),(8.199.025.309),(9.194.458.154),,-995432845.0,-8199025309.0,-9194458154.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,51.602.316.000,596.048.968,13.034.535.000,65.232.899.968,51602316000.0,596048968.0,13034535000.0,65232899968.0
