row_label_raw,row_label_full,col_0,Transaction value,Transaction value_1,numeric__Transaction value,numeric__Transaction value_1
,,,2024VND,2023VND,,
Saigon Song Hau Beer Trading Joint Stock Company,Saigon Song Hau Beer Trading Joint Stock Company,Saigon Song Hau Beer Trading Joint Stock Company,Saigon Song Hau Beer Trading Joint Stock Company,Saigon Song Hau Beer Trading Joint Stock Company,,
Sales of raw materials,Sales of raw materials,Sales of raw materials,"159,768,000",-,,
Other sales,Other sales,Other sales,"3,253,750,924",-,,
Purchases of merchandise goods,Purchases of merchandise goods,Purchases of merchandise goods,-,"189,674,920",,
Support for selling expenses,Support for selling expenses,Support for selling expenses,"155,543,423,379","212,845,329,279",,
Promotion goods expenses,Promotion goods expenses,Promotion goods expenses,"11,905,765,496","21,900,716,270",,
Dividends income,Dividends income,Dividends income,"100,789,010,089","141,975,347,176",,
Other transactions,Other transactions,Other transactions,"6,192,986,841","3,841,704,306",,
Northern Sai Gon Beer Trading Joint Stock Company,Northern Sai Gon Beer Trading Joint Stock Company,Northern Sai Gon Beer Trading Joint Stock Company,Northern Sai Gon Beer Trading Joint Stock Company,Northern Sai Gon Beer Trading Joint Stock Company,,
Sales of raw materials,Sales of raw materials,Sales of raw materials,"100,353,300","34,704,600",,
Other sales,Other sales,Other sales,"3,486,060,928",-,,
Purchases of merchandise goods,Purchases of merchandise goods,Purchases of merchandise goods,"882,110,960","807,339,540",,
Support for selling expenses,Support for selling expenses,Support for selling expenses,"192,168,330,412","197,784,408,232",,
Promotion goods expenses,Promotion goods expenses,Promotion goods expenses,"14,328,817,219","6,260,131,758",,
Dividends income,Dividends income,Dividends income,"64,149,165,046","94,432,386,255",,
Other transactions,Other transactions,Other transactions,"172,230,995","509,022,061",,
Sai Gon Beer Northeast Trading Joint Stock Company,Sai Gon Beer Northeast Trading Joint Stock Company,Sai Gon Beer Northeast Trading Joint Stock Company,Sai Gon Beer Northeast Trading Joint Stock Company,Sai Gon Beer Northeast Trading Joint Stock Company,,
Sales of raw materials,Sales of raw materials,Sales of raw materials,"81,258,690",-,,
Other sales,Other sales,Other sales,"2,756,674,624",-,,
Purchases of merchandise goods,Purchases of merchandise goods,Purchases of merchandise goods,-,"5,607,360",,
Support for selling expenses,Support for selling expenses,Support for selling expenses,"89,714,384,369","82,362,376,264",,
Promotion goods expenses,Promotion goods expenses,Promotion goods expenses,"8,101,494,065","5,823,001,756",,
Dividends income,Dividends income,Dividends income,"9,921,246,172","32,791,684,334",,
Other transactions,Other transactions,Other transactions,"95,108,115","125,325,258",,
Sai Gon Beer Bac Trung Bo Trading Joint Stock Company,Sai Gon Beer Bac Trung Bo Trading Joint Stock Company,Sai Gon Beer Bac Trung Bo Trading Joint Stock Company,Sai Gon Beer Bac Trung Bo Trading Joint Stock Company,Sai Gon Beer Bac Trung Bo Trading Joint Stock Company,,
Sales of raw materials,Sales of raw materials,Sales of raw materials,"31,320,000","64,110,513",,
Other sales,Other sales,Other sales,"2,289,541,876",-,,
Purchases of merchandise goods,Purchases of merchandise goods,Purchases of merchandise goods,"3,470,000","12,225,760",,
Support for selling expenses,Support for selling expenses,Support for selling expenses,"135,274,208,685","129,827,645,475",,
Promotion goods expenses,Promotion goods expenses,Promotion goods expenses,"7,938,520,542","5,886,565,141",,
Dividends income,Dividends income,Dividends income,"43,897,077,497","59,339,679,444",,
Other transactions,Other transactions,Other transactions,"5,038,952,894","4,839,639,828",,
Saigon Beer Group Company Limited,Saigon Beer Group Company Limited,Saigon Beer Group Company Limited,Saigon Beer Group Company Limited,Saigon Beer Group Company Limited,,
Sales of raw materials,Sales of raw materials,Sales of raw materials,"16,479,900","44,696,255",,
Other sales,Other sales,Other sales,"197,688,000",-,,
Purchases of merchandise goods,Purchases of merchandise goods,Purchases of merchandise goods,"1,091,043,240","3,309,200",,
Support for selling expenses,Support for selling expenses,Support for selling expenses,"367,955,541,733","216,028,458,527",,
Promotion goods expenses,Promotion goods expenses,Promotion goods expenses,"3,574,619,316","962,671,160",,
Profits distribution,Profits distribution,Profits distribution,"128,197,880,295","76,430,448,702",,
Other transactions,Other transactions,Other transactions,"56,828,300",-,,
