row_label_raw,row_label_full,Ông Koh Poh Tiong
Ông Pramoad Phornprapha,Ông Pramoad Phornprapha,Ông Pramoad Phornprapha
Ông Nguyễn Tiến Vý,Ông Nguyễn Tiến Vý,Ông Nguyễn Tiến Vý
Ông Michael Chye Hin Fah,Ông Michael Chye Hin Fah,Ông Michael Chye Hin Fah
Bà Trần Kim Nga,Bà Trần Kim Nga,Bà Trần Kim Nga
Ông Lê Thanh Tuân,Ông Lê Thanh Tuân,Ông Lê Thanh Tuân
Bà Ngô Minh Châu,Bà Ngô Minh Châu,Bà Ngô Minh Châu
