row_label_raw,row_label_full,col_0,Code,Note,31/12/2024 VND,1/1/2024 VND,numeric__Code,numeric__Note,numeric__31/12/2024 VND,numeric__1/1/2024 VND
RESOURCES,RESOURCES,RESOURCES,RESOURCES,RESOURCES,RESOURCES,RESOURCES,,,,
LIABILITIES (300 = 310 + 330),RESOURCES > LIABILITIES (300 = 310 + 330),LIABILITIES (300 = 310 + 330),300,,"8,811,053,721,648","7,935,170,566,006",300.0,,,
Current liabilities,RESOURCES > Current liabilities,Current liabilities,310,,"8,723,003,536,581","7,848,003,546,758",310.0,,,
Accounts payable to suppliers,RESOURCES > Accounts payable to suppliers,Accounts payable to suppliers,311,18,"4,657,041,155,217","4,307,947,329,896",311.0,18.0,,
Advances from customers,RESOURCES > Advances from customers,Advances from customers,312,,"13,961,166,545","19,964,720,060",312.0,,,
Taxes payable to State Treasury,RESOURCES > Taxes payable to State Treasury,Taxes payable to State Treasury,313,19(a),"377,364,075,268","426,737,847,446",313.0,,,
Payables to employees,RESOURCES > Payables to employees,Payables to employees,314,,"22,172,169,367","46,928,695,916",314.0,,,
Accrued expenses,RESOURCES > Accrued expenses,Accrued expenses,315,20,"258,089,199,523","278,194,173,198",315.0,20.0,,
Other payables – short-term,RESOURCES > Other payables – short-term,Other payables – short-term,319,21(a),"3,340,319,673,627","2,714,875,683,208",319.0,,,
Bonus and welfare fund,RESOURCES > Bonus and welfare fund,Bonus and welfare fund,322,22,"54,056,097,034","53,355,097,034",322.0,22.0,,
Long-term liabilities,RESOURCES > Long-term liabilities,Long-term liabilities,330,,"88,050,185,067","87,167,019,248",330.0,,,
Other payables – long-term,RESOURCES > Other payables – long-term,Other payables – long-term,337,21(b),"53,247,542,136","53,247,542,136",337.0,,,
Provision – long-term,RESOURCES > Provision – long-term,Provision – long-term,342,23,"34,802,642,931","33,919,477,112",342.0,23.0,,
EQUITY (400 = 410),RESOURCES > EQUITY (400 = 410),EQUITY (400 = 410),400,,"20,658,817,613,949","21,593,626,852,752",400.0,,,
Owners' equity,RESOURCES > Owners' equity,Owners' equity,410,24,"20,658,817,613,949","21,593,626,852,752",410.0,24.0,,
Share capital,RESOURCES > Share capital,Share capital,411,25,"12,825,623,720,000","12,825,623,720,000",411.0,25.0,,
Ordinary shares with voting rights,Ordinary shares with voting rights,Ordinary shares with voting rights,411a,,"12,825,623,720,000","12,825,623,720,000",,,,
Investment and development fund,Ordinary shares with voting rights > Investment and development fund,Investment and development fund,418,26,"760,819,802,040","760,819,802,040",418.0,26.0,,
Retained profits,Ordinary shares with voting rights > Retained profits,Retained profits,421,,"7,072,374,091,909","8,007,183,330,712",421.0,,,
Retained profits brought forward,Retained profits brought forward,Retained profits brought forward,421a,,"2,878,719,029,360","3,775,246,732,311",,,,
Retained profit for the year,Retained profit for the year,Retained profit for the year,421b,,"4,193,655,062,549","4,231,936,598,401",,,,
TOTAL RESOURCES(440 = 300 + 400),Retained profit for the year > TOTAL RESOURCES(440 = 300 + 400),TOTAL RESOURCES(440 = 300 + 400),440,,"29,469,871,335,597","29,528,797,418,758",440.0,,,
