row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND",Máy móc vàthiết bịVND,Phương tiệnvận chuyểnVND,Thiết bịquản lýVND,TổngVND,"numeric__Nhà cửa,vật kiến trúcVND",numeric__Máy móc vàthiết bịVND,numeric__Phương tiệnvận chuyểnVND,numeric__Thiết bịquản lýVND,numeric__TổngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,527.774.586.582,2.918.292.957.837,54.949.941.105,126.006.563.124,3.627.024.048.648,527774586582.0,2918292957837.0,54949941105.0,126006563124.0,3627024048648.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,4.483.580.000,-,2.212.619.818,6.696.199.818,,4483580000.0,,2212619818.0,6696199818.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,-,29.671.213.518,-,5.383.784.438,35.054.997.956,,29671213518.0,,5383784438.0,35054997956.0
Điều chỉnh,Nguyên giá > Điều chỉnh,Điều chỉnh,-,-,-,(94.200.000),(94.200.000),,,,-94200000.0,-94200000.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,527.774.586.582,2.952.447.751.355,54.949.941.105,133.508.767.380,3.668.681.046.422,527774586582.0,2952447751355.0,54949941105.0,133508767380.0,3668681046422.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,452.020.476.764,2.712.965.849.620,53.667.512.913,113.709.108.827,3.332.362.948.124,452020476764.0,2712965849620.0,53667512913.0,113709108827.0,3332362948124.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,8.480.856.344,69.040.209.013,350.136.948,7.116.944.146,84.988.146.451,8480856344.0,69040209013.0,350136948.0,7116944146.0,84988146451.0
Điều chỉnh,Giá trị hao mòn lũy kế > Điều chỉnh,Điều chỉnh,-,-,-,(94.200.000),(94.200.000),,,,-94200000.0,-94200000.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,460.501.333.108,2.782.006.058.633,54.017.649.861,120.731.852.973,3.417.256.894.575,460501333108.0,2782006058633.0,54017649861.0,120731852973.0,3417256894575.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,75.754.109.818,205.327.108.217,1.282.428.192,12.297.454.297,294.661.100.524,75754109818.0,205327108217.0,1282428192.0,12297454297.0,294661100524.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,67.273.253.474,170.441.692.722,932.291.244,12.776.914.407,251.424.151.847,67273253474.0,170441692722.0,932291244.0,12776914407.0,251424151847.0
