row_label_raw,row_label_full,Payments of dividends,36,col_2,"(4,489,299,293,200)","(3,206,241,018,275)",numeric__36,numeric__col_2,"numeric__(4,489,299,293,200)","numeric__(3,206,241,018,275)"
Cash flows from financing activities,Cash flows from financing activities,Cash flows from financing activities,40,,"(4,489,299,293,200)","(3,206,241,018,275)",40.0,,,
Net cash flows during the year (50 = 20 + 30 + 40),Net cash flows during the year (50 = 20 + 30 + 40),Net cash flows during the year (50 = 20 + 30 + 40),50,,"(328,001,334,270)","273,354,689,765",50.0,,,
Cash and cash equivalents at the beginning of the year,Cash and cash equivalents at the beginning of the year,Cash and cash equivalents at the beginning of the year,60,,"3,197,402,607,546","2,924,304,281,432",60.0,,,
Effect of exchange rate fluctuations on cash and cash equivalents,Effect of exchange rate fluctuations on cash and cash equivalents,Effect of exchange rate fluctuations on cash and cash equivalents,61,,"(469,166,280)","(256,363,651)",61.0,,,
Cash and cash equivalents at the end of the year (70 = 50 + 60 + 61),Cash and cash equivalents at the end of the year (70 = 50 + 60 + 61),Cash and cash equivalents at the end of the year (70 = 50 + 60 + 61),70,5,"2,868,932,106,996","3,197,402,607,546",70.0,5.0,,
