row_label_raw,row_label_full,Company name,31/12/2024 > % of equity owned and voting right,31/12/2024 > Cost VND,31/12/2024 > Fair value VND,31/12/2024 > Allowance VND,1/1/2024 > % of equity owned and voting right,1/1/2024 > Cost VND,1/1/2024 > Fair value VND,1/1/2024 > Allowance VND,numeric__31/12/2024 > % of equity owned and voting right,numeric__31/12/2024 > Cost VND,numeric__31/12/2024 > Fair value VND,numeric__31/12/2024 > Allowance VND,numeric__1/1/2024 > % of equity owned and voting right,numeric__1/1/2024 > Cost VND,numeric__1/1/2024 > Fair value VND,numeric__1/1/2024 > Allowance VND
Western - Sai Gon Beer Joint Stock Company,Western - Sai Gon Beer Joint Stock Company,Western - Sai Gon Beer Joint Stock Company,84.46%,"376,191,417,530","658,925,622,750",-,70.55%,"262,244,332,509","527,159,477,000",-,84.46,,,,70.55,,,
Chuong Duong Beverages Joint Stock Company,Chuong Duong Beverages Joint Stock Company,Chuong Duong Beverages Joint Stock Company,62.06%,"236,167,400,000","77,123,067,000","(159,044,333,000)",62.06%,"236,167,400,000","78,922,500,000","(157,244,900,000)",62.06,,,,62.06,,,
Sai Gon - Quang Ngai Beer Joint Stock Company,Sai Gon - Quang Ngai Beer Joint Stock Company,Sai Gon - Quang Ngai Beer Joint Stock Company,66.56%,"299,548,230,160","627,682,116,667",-,66.56%,"299,548,230,160","595,795,350,000",-,66.56,,,,66.56,,,
Binh Tay Liquor Joint Stock Company,Binh Tay Liquor Joint Stock Company,Binh Tay Liquor Joint Stock Company,91.75%,"208,414,271,535",(*),-,91.75%,"208,414,271,535",(*),-,91.75,,,,91.75,,,
"Sai Gon - Dong Xuan Beer, Alcohol Joint Stock Company","Sai Gon - Dong Xuan Beer, Alcohol Joint Stock Company","Sai Gon - Dong Xuan Beer, Alcohol Joint Stock Company",51.24%,"17,650,697,182","24,491,354,700",-,51.24%,"17,650,697,182","34,041,046,350",-,51.24,,,,51.24,,,
Saigon - Nghetinh Beer Joint Stock Company,Saigon - Nghetinh Beer Joint Stock Company,Saigon - Nghetinh Beer Joint Stock Company,54.73%,"76,324,868,844","38,240,538,000","(38,084,330,844)",54.73%,"76,324,868,844","43,315,139,000","(33,009,729,844)",54.73,,,,54.73,,,
Saigon - Songlam Beer Joint Stock Company,Saigon - Songlam Beer Joint Stock Company,Saigon - Songlam Beer Joint Stock Company,68.78%,"314,250,000,000","302,505,300,000","(11,744,700,000)",68.78%,"314,250,000,000","294,427,350,000","(19,822,650,000)",68.78,,,,68.78,,,
Sai Gon - Ha Noi Beer Corporation,Sai Gon - Ha Noi Beer Corporation,Sai Gon - Ha Noi Beer Corporation,52.11%,"93,800,000,000","190,873,620,000",-,52.11%,"93,800,000,000","184,157,540,000",-,52.11,,,,52.11,,,
Saigon Beer Trading Company Limited,Saigon Beer Trading Company Limited,Saigon Beer Trading Company Limited,100%,"700,000,000,000",(*),-,100%,"700,000,000,000",(*),-,1.0,,,,1.0,,,
Northern Sai Gon Beer Trading Joint Stock Company,Northern Sai Gon Beer Trading Joint Stock Company,Northern Sai Gon Beer Trading Joint Stock Company,90.00%,"37,422,345,046",(*),-,90.00%,"37,422,345,046",(*),-,90.0,,,,90.0,,,
Sai Gon Beer Bac Trung Bo Trading Joint Stock Company,Sai Gon Beer Bac Trung Bo Trading Joint Stock Company,Sai Gon Beer Bac Trung Bo Trading Joint Stock Company,95.07%,"37,369,732,632",(*),-,95.07%,"37,369,732,632",(*),-,95.07,,,,95.07,,,
Saigon Beer Center Trading Joint Stock Company,Saigon Beer Center Trading Joint Stock Company,Saigon Beer Center Trading Joint Stock Company,94.47%,"83,141,000,000",(*),-,94.45%,"83,141,000,000",(*),-,94.47,,,,94.45,,,
Saigon Beer Mien Trung Trading Joint Stock Company,Saigon Beer Mien Trung Trading Joint Stock Company,Saigon Beer Mien Trung Trading Joint Stock Company,91.24%,"54,546,288,176",(*),"(28,720,419,444)",91.24%,"54,546,288,176",(*),"(13,716,054,085)",91.24,,,,91.24,,,
