row_label_raw,row_label_full,col_0,1/1/2024VND,IncurredVND,PaidVND,Net-offVND,31/12/2024VND,numeric__1/1/2024VND,numeric__IncurredVND,numeric__PaidVND,numeric__Net-offVND,numeric__31/12/2024VND
Special sales tax,Special sales tax,Special sales tax,"226,786,750,653","2,556,767,526,423","(2,557,678,625,005)",-,"225,875,652,071",,,,,
Corporate income tax,Corporate income tax,Corporate income tax,"189,026,186,580","578,298,848,337","(622,739,562,115)",-,"144,585,472,802",,,,,
Value added tax,Value added tax,Value added tax,-,"4,973,481,173,545","(735,544,076,238)","(4,237,937,097,307)",-,,,,,
Personal income tax,Personal income tax,Personal income tax,"7,787,039,811","50,592,821,191","(54,236,400,686)",-,"4,143,460,316",,,,,
Import-export tax,Import-export tax,Import-export tax,-,"2,640,472,095","(2,640,472,095)",-,-,,,,,
Land tax and land leases,Land tax and land leases,Land tax and land leases,"1,581,049,806","54,201,970,065","(46,423,517,555)","(7,778,452,510)","1,581,049,806",,,,,
Natural resource taxes,Natural resource taxes,Natural resource taxes,"2,115,680","23,819,040","(24,749,760)",-,"1,184,960",,,,,
Other taxes,Other taxes,Other taxes,"1,554,704,916","32,914,685,112","(33,292,134,715)",-,"1,177,255,313",,,,,
,,,"426,737,847,446","8,248,921,315,808","(4,052,579,538,169)","(4,245,715,549,817)","377,364,075,268",,,,,
