row_label_raw,row_label_full,col_0,Giá trị ghi sổ trước thời điểm mua VND,Các điều chỉnh về giá trị hợp lý VND,Giá trị ghi nhận tại thời điểm mua VND,numeric__Giá trị ghi sổ trước thời điểm mua VND,numeric__Các điều chỉnh về giá trị hợp lý VND,numeric__Giá trị ghi nhận tại thời điểm mua VND
Tiền,Tiền,Tiền,2.466.855.291,-,2.466.855.291,2466855291.0,,2466855291.0
Các khoản phải thu khách hàng,Các khoản phải thu khách hàng,Các khoản phải thu khách hàng,182.458.026,-,182.458.026,182458026.0,,182458026.0
Trả trước cho người bán,Trả trước cho người bán,Trả trước cho người bán,80.458.647,-,80.458.647,80458647.0,,80458647.0
Phải thu về cho vay (Thuyết minh 11),Phải thu về cho vay (Thuyết minh 11),Phải thu về cho vay (Thuyết minh 11),20.500.000.000,-,20.500.000.000,20500000000.0,,20500000000.0
Phải thu khác,Phải thu khác,Phải thu khác,5.789.091.759,-,5.789.091.759,5789091759.0,,5789091759.0
Hàng tồn kho,Hàng tồn kho,Hàng tồn kho,525.356.440,-,525.356.440,525356440.0,,525356440.0
Chi phí trả trước ngắn hạn,Chi phí trả trước ngắn hạn,Chi phí trả trước ngắn hạn,17.966.667,-,17.966.667,17966667.0,,17966667.0
Thuế giá trị gia tăng khấu trừ,Thuế giá trị gia tăng khấu trừ,Thuế giá trị gia tăng khấu trừ,6.256.624,-,6.256.624,6256624.0,,6256624.0
Tài sản cố định vô hình (Thuyết minh 17),Tài sản cố định vô hình (Thuyết minh 17),Tài sản cố định vô hình (Thuyết minh 17),-,119.454.114.181,119.454.114.181,,119454114181.0,119454114181.0
Đầu tư vào một công ty liên kết (Thuyết minh 9(b)),Đầu tư vào một công ty liên kết (Thuyết minh 9(b)),Đầu tư vào một công ty liên kết (Thuyết minh 9(b)),21.000.000.000,-,21.000.000.000,21000000000.0,,21000000000.0
Đầu tư vốn chú sở hữu vào các đơn vị khác (Thuyết minh 9(b)),Đầu tư vốn chú sở hữu vào các đơn vị khác (Thuyết minh 9(b)),Đầu tư vốn chú sở hữu vào các đơn vị khác (Thuyết minh 9(b)),29.400.000.000,-,29.400.000.000,29400000000.0,,29400000000.0
Phải trả người bán,Phải trả người bán,Phải trả người bán,(29.900),-,(29.900),-29900.0,,-29900.0
Người mua trả tiền trước,Người mua trả tiền trước,Người mua trả tiền trước,(16.356),-,(16.356),-16356.0,,-16356.0
Thuế phải nộp Nhà nước (Thuyết minh 23(a)),Thuế phải nộp Nhà nước (Thuyết minh 23(a)),Thuế phải nộp Nhà nước (Thuyết minh 23(a)),(47.518.010),-,(47.518.010),-47518010.0,,-47518010.0
Chi phí phải trả,Chi phí phải trả,Chi phí phải trả,(1.000.000.000),-,(1.000.000.000),-1000000000.0,,-1000000000.0
Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,(39.291.809),-,(39.291.809),-39291809.0,,-39291809.0
Vay ngắn hạn (Thuyết minh 26(a)),Vay ngắn hạn (Thuyết minh 26(a)),Vay ngắn hạn (Thuyết minh 26(a)),(35.147.875.234),-,(35.147.875.234),-35147875234.0,,-35147875234.0
Quỹ khen thưởng và phúc lợi (Thuyết minh 27),Quỹ khen thưởng và phúc lợi (Thuyết minh 27),Quỹ khen thưởng và phúc lợi (Thuyết minh 27),(11.778.453),-,(11.778.453),-11778453.0,,-11778453.0
Tài sản và nợ phải trả thuần có thể xác định được,Tài sản và nợ phải trả thuần có thể xác định được,Tài sản và nợ phải trả thuần có thể xác định được,43.721.933.692,119.454.114.181,163.176.047.873,43721933692.0,119454114181.0,163176047873.0
"Phần tài sản thuần mua (54,98%)","Phần tài sản thuần mua (54,98%)","Phần tài sản thuần mua (54,98%)",,,81.894.538.740,,,81894538740.0
Khoản thanh toán cho việc mua lại,Khoản thanh toán cho việc mua lại,Khoản thanh toán cho việc mua lại,,,81.894.538.740,,,81894538740.0
Khoản tiền thu được,Khoản tiền thu được,Khoản tiền thu được,,,2.466.855.291,,,2466855291.0
Khoản tiền thanh toán thuần,Khoản tiền thanh toán thuần,Khoản tiền thanh toán thuần,,,79.427.683.449,,,79427683449.0
