row_label_raw,row_label_full,col_0,Vốn cổ phần VND,Thặng dư vốn cổ phần VND,Cổ phiếu quỹ VND,Quỹ đầu tư và phát triển VND,Quỹ khác thuộc vốn chủ sở hữu VND,Lợi nhuận chưa phân phối VND,Lợi ích cổ đông không kiểm soát VND,Tổng vốn chủ sở hữu VND,numeric__Vốn cổ phần VND,numeric__Thặng dư vốn cổ phần VND,numeric__Cổ phiếu quỹ VND,numeric__Quỹ đầu tư và phát triển VND,numeric__Quỹ khác thuộc vốn chủ sở hữu VND,numeric__Lợi nhuận chưa phân phối VND,numeric__Lợi ích cổ đông không kiểm soát VND,numeric__Tổng vốn chủ sở hữu VND
Số dư tại ngày 1 tháng 1 năm 2016,Số dư tại ngày 1 tháng 1 năm 2016,Số dư tại ngày 1 tháng 1 năm 2016,2.170.691.340.000,442.006.044.101,(11.890.000),92.031.159.126,17.334.915.900,285.263.381.517,35.870.774.248,3.043.185.724.892,2170691340000.0,442006044101.0,-11890000.0,92031159126.0,17334915900.0,285263381517.0,35870774248.0,3043185724892.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,,-,-,-,-,173.514.877.534,6.325.682.611,179.840.560.145,,,,,,173514877534.0,6325682611.0,179840560145.0
Góp vốn bởi lợi ích cổ đông không kiểm soát,Góp vốn bởi lợi ích cổ đông không kiểm soát,Góp vốn bởi lợi ích cổ đông không kiểm soát,,-,-,-,-,-,26.556.670.000,26.556.670.000,,,,,,,26556670000.0,26556670000.0
Tăng do mua công ty con (Thuyết minh 5),Tăng do mua công ty con (Thuyết minh 5),Tăng do mua công ty con (Thuyết minh 5),,-,-,-,-,-,81.281.509.133,81.281.509.133,,,,,,,81281509133.0,81281509133.0
Biến động do việc mua thêm cổ phần của công ty con (Thuyết minh 6),Biến động do việc mua thêm cổ phần của công ty con (Thuyết minh 6),Biến động do việc mua thêm cổ phần của công ty con (Thuyết minh 6),,-,-,-,-,(27.579.290.867),(26.320.709.133),(53.900.000.000),,,,,,-27579290867.0,-26320709133.0,-53900000000.0
Biến động thông qua việc bán và vẫn giữ quyền kiểm soát của Tập đoàn (Thuyết minh 7(a)),Biến động thông qua việc bán và vẫn giữ quyền kiểm soát của Tập đoàn (Thuyết minh 7(a)),Biến động thông qua việc bán và vẫn giữ quyền kiểm soát của Tập đoàn (Thuyết minh 7(a)),,,-,-,-,47.585.958.119,43.775.690.344,91.361.648.463,,,,,,47585958119.0,43775690344.0,91361648463.0
Giảm do bán công ty con (Thuyết minh 7(b)),Giảm do bán công ty con (Thuyết minh 7(b)),Giảm do bán công ty con (Thuyết minh 7(b)),,-,-,-,-,(47.585.958.119),(71.860.836.022),(119.446.794.141),,,,,,-47585958119.0,-71860836022.0,-119446794141.0
Biến động thông qua việc bán gián tiếp và vẫn giữ quyền kiểm soát của Tập đoàn (Thuyết minh 7(c)),Biến động thông qua việc bán gián tiếp và vẫn giữ quyền kiểm soát của Tập đoàn (Thuyết minh 7(c)),Biến động thông qua việc bán gián tiếp và vẫn giữ quyền kiểm soát của Tập đoàn (Thuyết minh 7(c)),,,-,-,-,270.592.775,22.533.265.225,22.803.858.000,,,,,,270592775.0,22533265225.0,22803858000.0
Phân bổ vào các quỹ,Phân bổ vào các quỹ,Phân bổ vào các quỹ,,-,-,6.610.823.464,3.390.486.949,(10.001.310.413),-,-,,,,6610823464.0,3390486949.0,-10001310413.0,,
Phân bổ vào quỹ khen thưởng và phúc lợi,Phân bổ vào quỹ khen thưởng và phúc lợi,Phân bổ vào quỹ khen thưởng và phúc lợi,,-,-,-,-,(8.925.118.720),-,(8.925.118.720),,,,,,-8925118720.0,,-8925118720.0
Sử dụng trong năm,Sử dụng trong năm,Sử dụng trong năm,,-,-,-,(314.257.228),-,-,(314.257.228),,,,,-314257228.0,,,-314257228.0
Điều chính khác,Điều chính khác,Điều chính khác,,(50.000.000),-,-,-,-,-,(50.000.000),,-50000000.0,,,,,,-50000000.0
Số dư tại ngày 31 tháng 12 năm 2016,Số dư tại ngày 31 tháng 12 năm 2016,Số dư tại ngày 31 tháng 12 năm 2016,2.170.691.340.000,441.956.044.101,(11.890.000),98.641.982.590,20.411.145.621,412.543.131.826,118.162.046.406,3.262.393.800.544,2170691340000.0,441956044101.0,-11890000.0,98641982590.0,20411145621.0,412543131826.0,118162046406.0,3262393800544.0
