row_label_raw,row_label_full,Tên công ty liên kết,Hoạt động chính,Tỷ lệ lợi ích do Công ty nấm giữ tại ngày > 31/12/2016,Tỷ lệ lợi ích do Công ty nấm giữ tại ngày > 1/1/2016,numeric__Hoạt động chính,numeric__Tỷ lệ lợi ích do Công ty nấm giữ tại ngày > 31/12/2016,numeric__Tỷ lệ lợi ích do Công ty nấm giữ tại ngày > 1/1/2016
Công ty Cổ phần Địa ốc Dũng Anh (vi),Công ty Cổ phần Địa ốc Dũng Anh (vi),Công ty Cổ phần Địa ốc Dũng Anh (vi),Dịch vụ,-,"25,00%",,,0.25
Công ty Cổ phần May Tiến Phát (Thuyết minh 9(b)(i)),Công ty Cổ phần May Tiến Phát (Thuyết minh 9(b)(i)),Công ty Cổ phần May Tiến Phát (Thuyết minh 9(b)(i)),Bất động sản,"15,49%","23,31%",,0.1549,0.23309999999999997
Công ty Cổ phần Đầu tư Xây dựng Idico – Long An,Công ty Cổ phần Đầu tư Xây dựng Idico – Long An,Công ty Cổ phần Đầu tư Xây dựng Idico – Long An,Sản xuất; thương mại; dịch vụ,"24,00%","24,00%",,0.24,0.24
Công ty Cổ phần Bao bì và Kho bãi Bình Tây – trở thành một công ty liên kết (vii),Công ty Cổ phần Bao bì và Kho bãi Bình Tây – trở thành một công ty liên kết (vii),Công ty Cổ phần Bao bì và Kho bãi Bình Tây – trở thành một công ty liên kết (vii),Sản xuất; thương mại; dịch vụ,"49,18%","97,48%",,0.4918,0.9748
Công ty Cổ phần Đầu tư Địa ốc Kim Thành (viii),Công ty Cổ phần Đầu tư Địa ốc Kim Thành (viii),Công ty Cổ phần Đầu tư Địa ốc Kim Thành (viii),Bất động sản,"60,00%",-,,0.6,
Công ty Cổ phần Thương mại Toàn Lực (ix),Công ty Cổ phần Thương mại Toàn Lực (ix),Công ty Cổ phần Thương mại Toàn Lực (ix),Thương mại,"22,37%",-,,0.2237,
