row_label_raw,row_label_full,Hội đồng Quản trị,Phạm Nhật VinhHuỳnh Bích NgọcHuỳnh Phú KiệtNguyễn Thế VinhPhạm Điền Trung,Chủ tịchPhó Chủ tịchPhó Chủ tịchThành viênThành viên,numeric__Phạm Nhật VinhHuỳnh Bích NgọcHuỳnh Phú KiệtNguyễn Thế VinhPhạm Điền Trung,numeric__Chủ tịchPhó Chủ tịchPhó Chủ tịchThành viênThành viên
Ban Tổng Giám đốc,Ban Tổng Giám đốc,Ban Tổng Giám đốc,Phạm Điền TrungNguyễn Thị ĐãBùi Tiến ThắngNguyễn Sinh MỹHồ Hữu NhânNguyễn Ngọc Thục,Tổng Giám đốcPhó Tổng Giám đốcPhó Tổng Giám đốcPhó Tổng Giám đốc(đến ngày 31 tháng 8 năm 2016)Phó Tổng Giám đốc(đến ngày 9 tháng 4 năm 2016),,
Ban Kiểm soát,Ban Kiểm soát,Ban Kiểm soát,Lâm Minh ChâuĐoàn Thanh ViệtTrần Mỹ Phân,Trường Ban Kiểm soátThành viênThành viên,,
Trụ sở đăng ký,Trụ sở đăng ký,Trụ sở đăng ký,"278 Nam Kỳ Khởi NghĩaPhường 8, Quận 3Thành phố Hồ Chí Minh Việt Nam",,,
Công ty kiểm toán,Công ty kiểm toán,Công ty kiểm toán,Công ty TNHH KPMG Việt Nam,,,
