row_label_raw,row_label_full,col_0,Loại tiền,Lãi suất năm,Năm đáo hạn,31/12/2016 VND,1/1/2016 VND,numeric__Loại tiền,numeric__Lãi suất năm,numeric__Năm đáo hạn,numeric__31/12/2016 VND,numeric__1/1/2016 VND
Vay dài hạn không được đảm bảo,Vay dài hạn không được đảm bảo,Vay dài hạn không được đảm bảo,Vay dài hạn không được đảm bảo,Vay dài hạn không được đảm bảo,Vay dài hạn không được đảm bảo,Vay dài hạn không được đảm bảo,Vay dài hạn không được đảm bảo,,,,,
Vay từ các cá nhân (a),Vay dài hạn không được đảm bảo > Vay từ các cá nhân (a),Vay từ các cá nhân (a),VND,"10,50%",2016-2017,36.950.000.000,44.612.500.000,,0.105,,36950000000.0,44612500000.0
Vay dài hạn được đảm bảo,Vay dài hạn được đảm bảo,Vay dài hạn được đảm bảo,Vay dài hạn được đảm bảo,Vay dài hạn được đảm bảo,Vay dài hạn được đảm bảo,Vay dài hạn được đảm bảo,Vay dài hạn được đảm bảo,,,,,
Ngân hàng Thương mại Cổ phần Phương Đông,Ngân hàng Thương mại Cổ phần Phương Đông,Ngân hàng Thương mại Cổ phần Phương Đông,Ngân hàng Thương mại Cổ phần Phương Đông,Ngân hàng Thương mại Cổ phần Phương Đông,Ngân hàng Thương mại Cổ phần Phương Đông,Ngân hàng Thương mại Cổ phần Phương Đông,Ngân hàng Thương mại Cổ phần Phương Đông,,,,,
- Khoản vay 1 (b),Ngân hàng Thương mại Cổ phần Phương Đông > - Khoản vay 1 (b),- Khoản vay 1 (b),VND,"5,00%-10,30%",2018,177.271.286.289,263.998.286.289,,,2018.0,177271286289.0,263998286289.0
- Khoản vay 2 (c),Ngân hàng Thương mại Cổ phần Phương Đông > - Khoản vay 2 (c),- Khoản vay 2 (c),VND,"5,00%-10,30%",2018,99.999.000.000,-,,,2018.0,99999000000.0,
- Khoản vay 3 (d),Ngân hàng Thương mại Cổ phần Phương Đông > - Khoản vay 3 (d),- Khoản vay 3 (d),VND,"5,00%-10,30%",2018,51.042.340.000,-,,,2018.0,51042340000.0,
Ngân hàng Thương mại Cổ phần Á Châu,Ngân hàng Thương mại Cổ phần Á Châu,Ngân hàng Thương mại Cổ phần Á Châu,Ngân hàng Thương mại Cổ phần Á Châu,Ngân hàng Thương mại Cổ phần Á Châu,Ngân hàng Thương mại Cổ phần Á Châu,Ngân hàng Thương mại Cổ phần Á Châu,Ngân hàng Thương mại Cổ phần Á Châu,,,,,
- Khoản vay 1 (e),Ngân hàng Thương mại Cổ phần Á Châu > - Khoản vay 1 (e),- Khoản vay 1 (e),VND,10%,2018-2019,298.522.462.464,10.153.866.202,,0.1,,298522462464.0,10153866202.0
- Khoản vay 2 (f),Ngân hàng Thương mại Cổ phần Á Châu > - Khoản vay 2 (f),- Khoản vay 2 (f),VND,"8,70%",2024,59.950.000.000,60.000.000.000,,0.087,2024.0,59950000000.0,60000000000.0
Ngân hàng Thương mại Cổ phần Tiên Phong,Ngân hàng Thương mại Cổ phần Tiên Phong,Ngân hàng Thương mại Cổ phần Tiên Phong,Ngân hàng Thương mại Cổ phần Tiên Phong,Ngân hàng Thương mại Cổ phần Tiên Phong,Ngân hàng Thương mại Cổ phần Tiên Phong,Ngân hàng Thương mại Cổ phần Tiên Phong,Ngân hàng Thương mại Cổ phần Tiên Phong,,,,,
- Khoản vay 1 (g),Ngân hàng Thương mại Cổ phần Tiên Phong > - Khoản vay 1 (g),- Khoản vay 1 (g),VND,"7,50%",2017,2.211.241.363,-,,0.075,2017.0,2211241363.0,
- Khoản vay 2 (h),Ngân hàng Thương mại Cổ phần Tiên Phong > - Khoản vay 2 (h),- Khoản vay 2 (h),VND,"7,50%",2020,531.875.000,-,,0.075,2020.0,531875000.0,
Ngân hàng Thương mại Cổ phần Bưu điện Liên Việt,Ngân hàng Thương mại Cổ phần Tiên Phong > Ngân hàng Thương mại Cổ phần Bưu điện Liên Việt,Ngân hàng Thương mại Cổ phần Bưu điện Liên Việt,VND,-,,-,103.474.216.361,,,,,103474216361.0
,,,,,,726.478.205.116,482.238.868.852,,,,726478205116.0,482238868852.0
Hoàn trả trong vòng 12 tháng,Ngân hàng Thương mại Cổ phần Tiên Phong > Hoàn trả trong vòng 12 tháng,Hoàn trả trong vòng 12 tháng,,,,(276.830.508.263),(47.353.101.973),,,,-276830508263.0,-47353101973.0
Hoàn trả sau 12 tháng,Ngân hàng Thương mại Cổ phần Tiên Phong > Hoàn trả sau 12 tháng,Hoàn trả sau 12 tháng,,,,449.647.696.853,434.885.766.879,,,,449647696853.0,434885766879.0
