row_label_raw,row_label_full,Cổ phiếu phổ thông đã phát hành đầu năm > Ảnh hưởng của cổ phiếu phát hành trong năm > Ảnh hưởng của cổ phiếu thường phát hành ngày 27 tháng 4 năm 2015,2016 > 217.069.134 > -,2015 > 157.656.336 > 28.516.856 > 9.382.222,numeric__2016 > 217.069.134 > -,numeric__2015 > 157.656.336 > 28.516.856 > 9.382.222
Ảnh hưởng của cổ phiếu quỹ,Ảnh hưởng của cổ phiếu quỹ,Ảnh hưởng của cổ phiếu quỹ,-,(915),,-915.0
Ảnh hưởng của khoản giảm cổ phiếu trong năm,Ảnh hưởng của khoản giảm cổ phiếu trong năm,Ảnh hưởng của khoản giảm cổ phiếu trong năm,-,(53),,-53.0
Số lượng bình quân gia quyền của cổ phiếu phổ thông trong năm,Số lượng bình quân gia quyền của cổ phiếu phổ thông trong năm,Số lượng bình quân gia quyền của cổ phiếu phổ thông trong năm,217.069.134,195.554.446,217069134.0,195554446.0
