row_label_raw,row_label_full,col_0,Phần mềmvi tínhVND,WebsiteCông tyVND,Quyền sử dụngđấtVND,TổngVND,numeric__Phần mềmvi tínhVND,numeric__WebsiteCông tyVND,numeric__Quyền sử dụngđấtVND,numeric__TổngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,6.350.023.853,111.561.227,-,6.461.585.080,6350023853.0,111561227.0,,6461585080.0
Tăng do mua công ty con(Thuyết minh 5),Nguyên giá > Tăng do mua công ty con(Thuyết minh 5),Tăng do mua công ty con(Thuyết minh 5),-,-,119.454.114.181,119.454.114.181,,,119454114181.0,119454114181.0
Giảm do thanh lý công ty con(Thuyết minh 7(b)),Nguyên giá > Giảm do thanh lý công ty con(Thuyết minh 7(b)),Giảm do thanh lý công ty con(Thuyết minh 7(b)),(24.016.200),-,-,(24.016.200),-24016200.0,,,-24016200.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,6.326.007.653,111.561.227,119.454.114.181,125.891.683.061,6326007653.0,111561227.0,119454114181.0,125891683061.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,3.545.785.006,111.561.227,-,3.657.346.233,3545785006.0,111561227.0,,3657346233.0
Khẩu hao trong năm,Giá trị hao mòn lũy kế > Khẩu hao trong năm,Khẩu hao trong năm,490.002.046,-,682.049.299,1.172.051.345,490002046.0,,682049299.0,1172051345.0
Giảm do thanh lý công ty con(Thuyết minh 7(b)),Giá trị hao mòn lũy kế > Giảm do thanh lý công ty con(Thuyết minh 7(b)),Giảm do thanh lý công ty con(Thuyết minh 7(b)),(24.016.200),-,-,(24.016.200),-24016200.0,,,-24016200.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,4.011.770.852,111.561.227,682.049.299,4.805.381.378,4011770852.0,111561227.0,682049299.0,4805381378.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,2.804.238.847,-,-,2.804.238.847,2804238847.0,,,2804238847.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,2.314.236.801,-,118.772.064.882,121.086.301.683,2314236801.0,,118772064882.0,121086301683.0
