row_label_raw,row_label_full,col_0,Nhà cửa VND,Máy móc và thiết bị VND,Phương tiện vận chuyển VND,Thiết bị văn phòng VND,Tổng VND,numeric__Nhà cửa VND,numeric__Máy móc và thiết bị VND,numeric__Phương tiện vận chuyển VND,numeric__Thiết bị văn phòng VND,numeric__Tổng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,9.251.048.804,5.313.167.424,5.174.814.033,7.102.508.782,26.841.539.043,9251048804.0,5313167424.0,5174814033.0,7102508782.0,26841539043.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,-,4.482.458.545,876.723.378,5.359.181.923,,,4482458545.0,876723378.0,5359181923.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,-,-,(271.656.000),-,(271.656.000),,,-271656000.0,,-271656000.0
Giảm từ việc bán công ty con (Thuyết minh 7(b)),Nguyên giá > Giảm từ việc bán công ty con (Thuyết minh 7(b)),Giảm từ việc bán công ty con (Thuyết minh 7(b)),(9.001.957.895),(4.289.223.481),-,(15.847.372),(13.307.028.748),-9001957895.0,-4289223481.0,,-15847372.0,-13307028748.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,249.090.909,1.023.943.943,9.385.616.578,7.963.384.788,18.622.036.218,249090909.0,1023943943.0,9385616578.0,7963384788.0,18622036218.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,8.087.186.612,5.313.167.424,5.174.814.033,5.708.172.729,24.283.340.798,8087186612.0,5313167424.0,5174814033.0,5708172729.0,24283340798.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,116.820.889,-,385.146.936,553.207.665,1.055.175.490,116820889.0,,385146936.0,553207665.0,1055175490.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,-,-,(271.656.000),-,(271.656.000),,,-271656000.0,,-271656000.0
Giảm từ việc bán công ty con (Thuyết minh 7(b)),Giá trị hao mòn lũy kế > Giảm từ việc bán công ty con (Thuyết minh 7(b)),Giảm từ việc bán công ty con (Thuyết minh 7(b)),(8.141.734.773),(4.289.223.481),-,(15.847.372),(12.446.805.626),-8141734773.0,-4289223481.0,,-15847372.0,-12446805626.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,62.272.728,1.023.943.943,5.288.304.969,6.245.533.022,12.620.054.662,62272728.0,1023943943.0,5288304969.0,6245533022.0,12620054662.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,1.163.862.192,-,-,1.394.336.053,2.558.198.245,1163862192.0,,,1394336053.0,2558198245.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,186.818.181,-,4.097.311.609,1.717.851.766,6.001.981.556,186818181.0,,4097311609.0,1717851766.0,6001981556.0
