row_label_raw,row_label_full,col_0,Công ty Cổ phầnĐịa ốc Dũng AnhVND,Công ty MayTiến PhátVND,TotalVND,numeric__Công ty Cổ phầnĐịa ốc Dũng AnhVND,numeric__Công ty MayTiến PhátVND,numeric__TotalVND
Thu từ bán công ty liên kết,Thu từ bán công ty liên kết,Thu từ bán công ty liên kết,26.000.000.000,67.877.397.000,93.877.397.000,26000000000.0,67877397000.0,93877397000.0
Giá trị ghi sổ của các khoản đầu tưvào công ty liên kết,Giá trị ghi sổ của các khoản đầu tưvào công ty liên kết,Giá trị ghi sổ của các khoản đầu tưvào công ty liên kết,(22.380.323.462),(65.088.769.530),(87.469.092.992),-22380323462.0,-65088769530.0,-87469092992.0
Lãi từ bán công ty liên kết,Lãi từ bán công ty liên kết,Lãi từ bán công ty liên kết,3.619.676.538,2.788.627.470,6.408.304.008,3619676538.0,2788627470.0,6408304008.0
