row_label_raw,row_label_full,col_0,Bình Tây VND,SCC VND,Tổng VND,numeric__Bình Tây VND,numeric__SCC VND,numeric__Tổng VND
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,30.382.517.259,128.699.618,30.511.216.877,30382517259.0,128699618.0,30511216877.0
Các khoản phải thu khách hàng,Các khoản phải thu khách hàng,Các khoản phải thu khách hàng,699.238.193,1.087.023.846,1.786.262.039,699238193.0,1087023846.0,1786262039.0
Trả trước cho người bán,Trả trước cho người bán,Trả trước cho người bán,20.462.425,28.500.000,48.962.425,20462425.0,28500000.0,48962425.0
Phải thu về cho vay (Thuyết minh 11),Phải thu về cho vay (Thuyết minh 11),Phải thu về cho vay (Thuyết minh 11),4.500.000.000,-,4.500.000.000,4500000000.0,,4500000000.0
Phải thu khác,Phải thu khác,Phải thu khác,507.282.251,1.390.500,508.672.751,507282251.0,1390500.0,508672751.0
Thuế giá trị gia tăng được khấu trừ,Thuế giá trị gia tăng được khấu trừ,Thuế giá trị gia tăng được khấu trừ,-,323.000,323.000,,323000.0,323000.0
Thuế phải thu Nhà nước (Thuyết minh 23(b)),Thuế phải thu Nhà nước (Thuyết minh 23(b)),Thuế phải thu Nhà nước (Thuyết minh 23(b)),8.053.925,-,8.053.925,8053925.0,,8053925.0
Tài sản cố định hữu hình – nguyên giá(Thuyết minh 15),Tài sản cố định hữu hình – nguyên giá(Thuyết minh 15),Tài sản cố định hữu hình – nguyên giá(Thuyết minh 15),13.291.181.376,15.847.372,13.307.028.748,13291181376.0,15847372.0,13307028748.0
Tài sản cố định hữu hình – giá trị hao mònlũy kế (Thuyết minh 15),Tài sản cố định hữu hình – giá trị hao mònlũy kế (Thuyết minh 15),Tài sản cố định hữu hình – giá trị hao mònlũy kế (Thuyết minh 15),(12.430.958.254),(15.847.372),(12.446.805.626),-12430958254.0,-15847372.0,-12446805626.0
Tài sản cố định vô hình – nguyên giá(Thuyết minh 17),Tài sản cố định vô hình – nguyên giá(Thuyết minh 17),Tài sản cố định vô hình – nguyên giá(Thuyết minh 17),-,24.016.200,24.016.200,,24016200.0,24016200.0
Tài sản cố định vô hình – giá trị hao mòn lũykế (Thuyết minh 17),Tài sản cố định vô hình – giá trị hao mòn lũykế (Thuyết minh 17),Tài sản cố định vô hình – giá trị hao mòn lũykế (Thuyết minh 17),-,(24.016.200),(24.016.200),,-24016200.0,-24016200.0
Đầu tư dài hạn vào các đơn vị khác(Thuyết minh 9(b)),Đầu tư dài hạn vào các đơn vị khác(Thuyết minh 9(b)),Đầu tư dài hạn vào các đơn vị khác(Thuyết minh 9(b)),66.204.920.000,,66.204.920.000,66204920000.0,,66204920000.0
Khoản đầu tư vào Tàu Cước được nấm giữ bồiBình Tây,Khoản đầu tư vào Tàu Cước được nấm giữ bồiBình Tây,Khoản đầu tư vào Tàu Cước được nấm giữ bồiBình Tây,45.607.716.000,-,45.607.716.000,45607716000.0,,45607716000.0
Phải trả người bán,Phải trả người bán,Phải trả người bán,-,(2.000.000),(2.000.000),,-2000000.0,-2000000.0
Người mua trả tiền trước,Người mua trả tiền trước,Người mua trả tiền trước,(390.000.000),-,(390.000.000),-390000000.0,,-390000000.0
Thuế phải nộp Nhà nước (Thuyết minh 23(a)),Thuế phải nộp Nhà nước (Thuyết minh 23(a)),Thuế phải nộp Nhà nước (Thuyết minh 23(a)),(1.395.564.207),(333.333),(1.395.897.540),-1395564207.0,-333333.0,-1395897540.0
Phải trả người lao động,Phải trả người lao động,Phải trả người lao động,-,(1.000.000),(1.000.000),,-1000000.0,-1000000.0
Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,(728.492.014),-,(728.492.014),-728492014.0,,-728492014.0
Quỹ khen thưởng và phúc lợi (Thuyết minh 27),Quỹ khen thưởng và phúc lợi (Thuyết minh 27),Quỹ khen thưởng và phúc lợi (Thuyết minh 27),503.456.461,-,503.456.461,503456461.0,,503456461.0
